simulation,timestep,config_id
1,1,632707
1,2,634755
1,3,634755
1,4,638851
1,5,638851
1,6,634755
1,7,896899
1,8,634755
1,9,634627
1,10,634755
1,11,634759
1,12,634759
1,13,896903
1,14,896903
1,15,894855
1,16,370567
1,17,370567
1,18,372615
1,19,370567
1,20,894855
1,21,886663
1,22,1017735
1,23,755591
1,24,763783
1,25,1025927
1,26,1027975
1,27,1025927
1,28,1025928
1,29,1042312
1,30,1042311
1,31,1042311
1,32,1025927
1,33,1027975
1,34,765831
1,35,634759
1,36,634755
1,37,765827
1,38,782211
1,39,782215
1,40,765831
1,41,1027975
1,42,1027975
1,43,1027976
1,44,1027976
1,45,503688
1,46,503688
1,47,1027976
1,48,765832
1,49,1027976
1,50,1027975
1,51,1044359
1,52,1044359
1,53,1044360
1,54,1044360
1,55,1027976
1,56,1027972
1,57,1027976
1,58,1044360
1,59,1044360
1,60,1044359
1,61,1044360
1,62,1027976
1,63,765832
1,64,1027976
1,65,1044360
1,66,1027976
1,67,1027976
1,68,1044360
1,69,1044359
1,70,1044355
1,71,1027971
1,72,1027975
1,73,1027976
1,74,1027848
1,75,1027847
1,76,1027975
1,77,1025927
1,78,1025923
1,79,894851
1,80,632707
1,81,632705
1,82,634753
1,83,651137
1,84,126849
1,85,110465
1,86,634753
1,87,765825
1,88,241537
1,89,765825
1,90,763777
1,91,763777
1,92,1025921
1,93,1025922
1,94,1017730
1,95,1017730
1,96,1017732
1,97,1017731
1,98,1017735
1,99,1017736
1,100,1025928
2,1,632707
2,2,108419
2,3,108419
2,4,632707
2,5,632707
2,6,894851
2,7,894852
2,8,894856
2,9,1025928
2,10,1025928
2,11,1025924
2,12,1025923
2,13,1025927
2,14,501639
2,15,1025927
2,16,1027975
2,17,1027975
2,18,1019783
2,19,1027975
2,20,1025927
2,21,1025927
2,22,501639
2,23,1025927
2,24,501639
2,25,1025927
2,26,1025928
2,27,1025927
2,28,894855
2,29,1025927
2,30,1025928
2,31,1027976
2,32,1027976
2,33,1027976
2,34,1032072
2,35,1032072
2,36,1032072
2,37,1030024
2,38,1032072
2,39,1031048
2,40,1032072
2,41,1048456
2,42,1048456
2,43,1044360
2,44,1044360
2,45,1027976
2,46,1027976
2,47,765832
2,48,765832
2,49,1027976
2,50,1032072
2,51,1027976
2,52,1027975
2,53,765831
2,54,765827
2,55,1027971
2,56,1027975
2,57,1032071
2,58,1027975
2,59,1044359
2,60,1042311
2,61,1046407
2,62,1042311
2,63,1042312
2,64,1044360
2,65,1044359
2,66,1043335
2,67,1043335
2,68,1041287
2,69,1042311
2,70,1044359
2,71,1044360
2,72,1044360
2,73,1027976
2,74,1027976
2,75,1025928
2,76,1025927
2,77,1025927
2,78,1027975
2,79,503687
2,80,1027975
2,81,1027976
2,82,1027976
2,83,1032072
2,84,1027976
2,85,1032072
2,86,1031816
2,87,1031815
2,88,1027719
2,89,1027975
2,90,1044359
2,91,1027975
2,92,1032071
2,93,1030023
2,94,1030055
2,95,1030023
2,96,1025927
2,97,1027975
2,98,1025927
2,99,1027975
2,100,1044359
3,1,632707
3,2,634755
3,3,632707
3,4,634755
3,5,651139
3,6,634755
3,7,634753
3,8,634757
3,9,634759
3,10,110471
3,11,372615
3,12,110471
3,13,114567
3,14,114568
3,15,638856
3,16,769928
3,17,786312
3,18,786311
3,19,655239
3,20,638855
3,21,638855
3,22,114567
3,23,106375
3,24,114567
3,25,638855
3,26,638855
3,27,638855
3,28,638855
3,29,638855
3,30,638855
3,31,638851
3,32,638851
3,33,634755
3,34,110467
3,35,110467
3,36,634755
3,37,634759
3,38,634759
3,39,634755
3,40,634755
3,41,634755
3,42,634755
3,43,634753
3,44,634497
3,45,634753
3,46,634755
3,47,633731
3,48,634755
3,49,634759
3,50,634759
3,51,634755
3,52,634755
3,53,634753
3,54,634497
3,55,634753
3,56,634755
3,57,765827
3,58,1027971
3,59,1025923
3,60,1025923
3,61,1025923
3,62,1025921
3,63,894849
3,64,894593
3,65,894849
3,66,894849
3,67,894849
3,68,370561
3,69,370561
3,70,369537
3,71,500609
3,72,501633
3,73,501634
3,74,493442
3,75,493442
3,76,493441
3,77,362369
3,78,370561
3,79,372609
3,80,372611
3,81,896899
3,82,1027971
3,83,1027975
3,84,1025927
3,85,1025928
3,86,1025928
3,87,1027976
3,88,1044360
3,89,1027976
3,90,503688
