simulation,timestep,config_id
1,1,524168
1,2,520072
1,3,524168
1,4,524040
1,5,524168
1,6,1048456
1,7,1044360
1,8,1044359
1,9,1027975
1,10,1025927
1,11,1017735
1,12,1017735
1,13,755591
1,14,1017735
1,15,493447
1,16,362375
1,17,362375
1,18,362371
1,19,362371
1,20,362243
1,21,361987
1,22,361985
1,23,361473
1,24,361985
1,25,361989
1,26,362117
1,27,362373
1,28,362375
1,29,362375
1,30,362375
1,31,362375
1,32,370567
1,33,362375
1,34,362383
1,35,362375
1,36,362375
1,37,886663
1,38,886663
1,39,886663
1,40,894855
1,41,896903
1,42,1027975
1,43,765831
1,44,769927
1,45,769927
1,46,769923
1,47,769923
1,48,769927
1,49,769927
1,50,765831
1,51,634759
1,52,765831
1,53,765832
1,54,1027976
1,55,1027975
1,56,1044359
1,57,1044359
1,58,1027975
1,59,1027719
1,60,1027975
1,61,1025927
1,62,1025927
1,63,894855
1,64,370567
1,65,894855
1,66,1025927
1,67,1025927
1,68,1017735
1,69,1017735
1,70,1025927
1,71,1025927
1,72,894855
1,73,1025927
1,74,894855
1,75,1025927
1,76,1025927
1,77,1025928
1,78,1025927
1,79,501639
1,80,503687
1,81,1027975
1,82,765831
1,83,1027975
1,84,1027975
1,85,1027976
1,86,1044360
1,87,1027976
1,88,1027976
1,89,1025928
1,90,1025928
1,91,1027976
1,92,1032072
1,93,1032071
1,94,1032072
1,95,1027976
1,96,1025928
1,97,960392
1,98,1025928
1,99,1025928
1,100,1027976
2,1,524168
2,2,1048456
2,3,1032072
2,4,1027976
2,5,1025928
2,6,1025927
2,7,1025928
2,8,1017736
2,9,493448
2,10,493447
2,11,1017735
2,12,1025927
2,13,1025928
2,14,1025927
2,15,894855
2,16,370567
2,17,362375
2,18,493447
2,19,362375
2,20,362375
2,21,362375
2,22,886663
2,23,886663
2,24,894855
2,25,894855
2,26,1025927
2,27,1027975
2,28,1027971
2,29,1027975
2,30,1025927
2,31,1025927
2,32,1027975
2,33,1044359
2,34,1044360
2,35,1027976
2,36,1027972
2,37,1027976
2,38,503688
2,39,1027976
2,40,1025928
2,41,1042312
2,42,1042311
2,43,1042312
2,44,1025928
2,45,501640
2,46,1025928
2,47,1027976
2,48,765832
2,49,765832
2,50,1027976
2,51,1027976
2,52,1025928
2,53,1025928
2,54,1025928
2,55,1025927
2,56,501639
2,57,493447
2,58,501639
2,59,1025927
2,60,1025927
2,61,894855
2,62,911239
2,63,386951
2,64,386947
2,65,386951
2,66,370567
2,67,894855
2,68,370567
2,69,370565
2,70,370567
2,71,894855
2,72,632711
2,73,632711
2,74,632711
2,75,894855
2,76,632711
