config_id,n_fixed_traits,prob_move
0,0,0.17625450581319613
0,1,0.14989667852064256
0,2,0.12683246484359761
0,3,0.11359680958410497
0,4,0.09881296974689019
0,5,0.08477346363585193
0,6,0.06998311310052477
0,7,0.055272922538409534
0,8,0.04318699115947345
0,9,0.0379727554428771
0,10,0.033164448879321
0,11,0.030951841798440224
0,12,0.02870495912222605
0,13,0.026188728549708933
0,14,0.023964417559032464
0,15,0.021065907469407286
0,16,0.01673250899762943
0,17,0.01560824704324811
0,18,0.013423683824160149
0,19,0.010349428399243576
33792,0,0.2134987329481314
33792,1,0.18321650205932088
33792,2,0.15831522177667362
33792,3,0.13237749563809095
33792,4,0.1097851440045991
33792,5,0.08430486060890326
33792,6,0.06406716459315179
33792,7,0.05421642642186846
33792,8,0.046317493564428665
33792,9,0.04197912399340112
33792,10,0.037465665643986214
33792,11,0.034941411501957315
33792,12,0.03238882180112869
33792,13,0.029882133146513605
33792,14,0.027286362671696856
33792,15,0.023859320961021037
33792,16,0.019712561689971736
33792,17,0.013989233129788023
33792,18,0.007718869135699746
33792,19,0.004612191313916991
76672,0,0.2706708983349843
76672,1,0.23487311535275981
76672,2,0.20144611637686408
76672,3,0.17423061580954147
76672,4,0.14573743466759165
76672,5,0.12555476881189814
76672,6,0.1066148405318829
76672,7,0.0898402267623629
76672,8,0.07963215730579032
76672,9,0.06863122342868665
76672,10,0.057422398919215564
76672,11,0.049769188183021305
76672,12,0.042523159654847764
76672,13,0.03494921065772373
76672,14,0.027275071924381094
76672,15,0.01733395628961003
76672,16,0.01241988991261922
76672,17,0.009085227123771134
76672,18,0.00746061028201328
76672,19,0.0044989382374255316
99840,0,0.16945718790322278
99840,1,0.14191597745914455
99840,2,0.12377294256331327
99840,3,0.10704799540993525
99840,4,0.09339683067105738
99840,5,0.0798787702823122
99840,6,0.06945984610049807
99840,7,0.05917319433636392
99840,8,0.04797006300675361
99840,9,0.036781198811078816
99840,10,0.02406906240714165
99840,11,0.018267288122073972
99840,12,0.014893919550166293
99840,13,0.012091510462063184
99840,14,0.010222802234197581
99840,15,0.0078046888844736095
99840,16,0.004673634131326709
99840,17,0.0027374895669780575
99840,18,0.001696765952822421
99840,19,0.0012687707586748198
100224,0,0.15781553603725756
100224,1,0.12771552930356656
100224,2,0.10996868579664598
100224,3,0.09597373183721976
100224,4,0.08051418813490162
100224,5,0.06310318989782888
100224,6,0.0475865459893532
100224,7,0.040030587202891724
100224,8,0.03309585306033417
100224,9,0.02572357481750157
100224,10,0.020646265483702676
100224,11,0.01823458070541913
100224,12,0.015383977618453337
100224,13,0.012190954908098486
100224,14,0.009208443051316406
100224,15,0.006906418236893952
100224,16,0.005900536868010342
100224,17,0.004476466083648119
100224,18,0.001971527648647886
100224,19,0.001631950650082703
100225,0,0.2327712508215399
100225,1,0.19397426539366255
100225,2,0.16133435133363852
100225,3,0.13909542596873306
100225,4,0.12037979214942597
100225,5,0.10135247893199138
100225,6,0.08545435921934783
