node_id,node_cluster
114,#3B9AB2
54,#3B9AB2
55,#3B9AB2
128,#3B9AB2
146,#3B9AB2
130,#3B9AB2
43,#3B9AB2
108,#3B9AB2
82,#3B9AB2
134,#3B9AB2
45,#3B9AB2
118,#3B9AB2
124,#3B9AB2
125,#3B9AB2
63,#3B9AB2
3,#3B9AB2
35,#3B9AB2
69,#3B9AB2
16,#3B9AB2
52,#3B9AB2
71,#78B7C5
94,#78B7C5
89,#78B7C5
90,#78B7C5
53,#78B7C5
65,#78B7C5
96,#78B7C5
102,#78B7C5
144,#78B7C5
139,#78B7C5
70,#78B7C5
88,#78B7C5
145,#78B7C5
59,#78B7C5
77,#78B7C5
83,#78B7C5
129,#78B7C5
147,#78B7C5
87,#78B7C5
99,#78B7C5
143,#78B7C5
46,#78B7C5
85,#78B7C5
57,#78B7C5
61,#78B7C5
66,#78B7C5
84,#78B7C5
7,#78B7C5
21,#78B7C5
95,#78B7C5
103,#78B7C5
78,#78B7C5
112,#78B7C5
23,#78B7C5
113,#78B7C5
36,#78B7C5
73,#78B7C5
49,#F21A00
109,#F21A00
81,#F21A00
120,#F21A00
38,#F21A00
42,#F21A00
5,#F21A00
8,#F21A00
13,#F21A00
27,#F21A00
97,#F21A00
110,#F21A00
132,#F21A00
25,#F21A00
28,#F21A00
1,#F21A00
4,#F21A00
60,#F21A00
64,#F21A00
37,#F21A00
41,#F21A00
137,#F21A00
51,#F21A00
122,#F21A00
10,#F21A00
15,#F21A00
62,#F21A00
50,#F21A00
93,#F21A00
115,#F21A00
33,#F21A00
44,#F21A00
48,#F21A00
106,#F21A00
68,#F21A00
123,#F21A00
6,#F21A00
11,#F21A00
111,#F21A00
0,#F21A00
2,#F21A00
135,#F21A00
140,#F21A00
14,#F21A00
17,#F21A00
30,#F21A00
107,#F21A00
32,#F21A00
72,#F21A00
74,#F21A00
149,#F21A00
58,#F21A00
67,#F21A00
133,#F21A00
39,#F21A00
40,#F21A00
80,#E1AF00
105,#E1AF00
141,#E1AF00
18,#E1AF00
31,#E1AF00
29,#E1AF00
121,#E1AF00
47,#E1AF00
98,#E1AF00
22,#E1AF00
24,#E1AF00
119,#E1AF00
12,#E1AF00
20,#E1AF00
34,#E1AF00
92,#E1AF00
100,#E1AF00
9,#E1AF00
26,#E1AF00
56,#E1AF00
76,#E1AF00
19,#E1AF00
86,#E1AF00
79,#EBCC2A
131,#EBCC2A
116,#EBCC2A
136,#EBCC2A
101,#EBCC2A
138,#EBCC2A
126,#EBCC2A
91,#EBCC2A
127,#EBCC2A
75,#EBCC2A
104,#EBCC2A
148,#EBCC2A
117,#EBCC2A
142,#EBCC2A
