Name,geometry
The Khazneh,POINT (35.45165747346309 30.322140667741262)
Judean Desert oasis,POINT (35.3883044462243 31.46796597574907)
Barama River Region,POINT (-59.88868584357988 7.691592333197193)
West Lake,POINT (120.1490231081772 30.231362428843887)
Achaemenid Empire,POINT (50.19234597363677 34.231646362128686)
Japan - Tokugawa Era,POINT (136.12337738714234 35.5649153710194)
"Havasupai Reservation, 1918",POINT (-112.6133760793655 36.16012000088357)
Churches of Christ in the United States,POINT (-97.25720943344766 38.30836790594642)
Jebel Barkal,POINT (31.83350100045076 18.535231044819948)
Island of Ireland,POINT (-7.993632651052661 53.422692907163864)
Lakota Sioux Reservations as of 1890,POINT (-101.13521822048006 44.43230176741231)
South Sulawesi,POINT (120.17348115601179 -3.83376447831107)
Aztec Imperial Core,POINT (-99.15533304874958 19.458154794144733)
Talismanic Religion (200 BCE-500 CE)),POINT (105.4647828299592 34.33411811821679)
Tehuelche,POINT (-69.62652220045028 -47.10141195840359)
England,POINT (-1.3689976021525085 52.33099568382933)
Indonesia,POINT (119.41430720672926 -3.079970016312726)
Tibet (Tufan) - 669 CE,POINT (93.26244988718231 32.791585041586224)
Tboung Khmum or Tbong Khmum Province,POINT (105.74805230540056 11.795006572192612)
Romonum Island,POINT (151.66969027070985 7.410257033799338)
Traditional centers of the Parsis,POINT (72.94588752496425 20.68124874643268)
"Erlitou Yanshi,Henan",POINT (112.69686166905245 34.69147467593871)
"Constantinople, c800CE-1400CE",POINT (28.950990946062266 41.01162600781993)
Gujarat and the UK,POINT (5.776689428933528 49.723485079379664)
Religious Society of Friends (Quakers),POINT (-16.875013999999997 56.270863)
"Mirebalais, Haiti",POINT (-72.10707797279822 18.832113269014574)
Tyva Republic,POINT (94.7994412318908 51.57580104280222)
Global,POINT (25.694227115078714 2.2367017310041275)
Tawi-Tawi and adjacent islands,POINT (120.03060136289096 5.1708987776786)
Southern Egypt,POINT (31.625204085584162 22.33712263490134)
Qin Empire 210 BCE,POINT (114.28420694153168 34.71623709120387)
The Sanctuary of Apollo at Delphi,POINT (22.50041303913348 38.48239336196033)
Town of Chichicastenango,POINT (-91.10818596420502 14.936156789794245)
"Lesu village, New Ireland, ca.1930",POINT (150.98347370884917 -2.7443745938389275)
Church of Panagia Angeloktisti,POINT (33.570977167640336 34.847533836423665)
"Ranchi, Jharkhand",POINT (85.47914753568718 23.62256139632584)
"Tuban, East Java; Bonang Village, Lasem Subdistrict (Central Java)",POINT (111.75057993268607 -6.7874667678674685)
Hindu India and Nepal,POINT (78.6954337277142 22.50806749693182)
Peru and Utah,POINT (-80.04381533661918 -1.67238963419739)
Nigeria,POINT (7.8972769392208395 9.621581052333692)
China,POINT (113.65774328136509 30.097146721864615)
Goodenough Island - Northern D'Entrecasteaux,POINT (150.36370768604556 -9.421989053017356)
Yādiya/Sam'al,POINT (36.69950704863834 36.99605219617044)
Gujarat,POINT (71.57273748659122 22.705579592029462)
Germany,POINT (13.044600439115081 51.55842512015179)
"Egypt, sometimes Nubia (Sudan) and the Levant",POINT (31.74565322533448 23.58589804263909)
"Char region(Lakhimpur District, Assam)",POINT (94.21279089918902 27.125738344405615)
Al Balayzah,POINT (31.23232151691643 27.031904063822964)
Italy,POINT (12.057156102668781 42.32777363973195)
Tenochtitlan,POINT (-99.13155489913743 19.43386884424845)
Global Shinto Network,POINT (144.21440760122132 -89.65648867921948)
Roman Empire,POINT (17.078464507503117 39.09616910448377)
Free Methodist World Conference.,POINT (-43.66517242856935 24.28489990741094)
Marmaria,POINT (22.508196475645182 38.48023997656236)
