q1,q2,q1_value,q2_value,probability
1,2,1,1,0.3574897034287192
1,2,1,-1,0.22863517087222385
1,2,-1,1,0.313306971843021
1,2,-1,-1,0.10056815385603529
1,3,1,1,0.3807830477823003
1,3,1,-1,0.20534182651864283
1,3,-1,1,0.16504481759426048
1,3,-1,-1,0.24883030810479578
1,4,1,1,0.5421859415179253
1,4,1,-1,0.0439389327830178
1,4,-1,1,0.36050343743602886
1,4,-1,-1,0.05337168826302736
1,5,1,1,0.5458797231053031
1,5,1,-1,0.04024515119564006
1,5,-1,1,0.3590393116471605
1,5,-1,-1,0.05483581405189574
1,6,1,1,0.1878572727473969
1,6,1,-1,0.39826760155354624
1,6,-1,1,0.17850876131089677
1,6,-1,-1,0.2353663643881595
1,7,1,1,0.4610235488247443
1,7,1,-1,0.12510132547619887
1,7,-1,1,0.2136538671007161
1,7,-1,-1,0.20022125859834008
1,8,1,1,0.134778395491906
1,8,1,-1,0.4513464788090371
1,8,-1,1,0.061496370813115875
1,8,-1,-1,0.35237875488594034
1,9,1,1,0.31147126457682767
1,9,1,-1,0.27465360972411546
1,9,-1,1,0.12821894535234268
1,9,-1,-1,0.2856561803467136
1,10,1,1,0.48768923002496256
1,10,1,-1,0.09843564427598055
1,10,-1,1,0.26350190942430285
1,10,-1,-1,0.15037321627475345
1,11,1,1,0.5483201910286055
1,11,1,-1,0.037804683272337616
1,11,-1,1,0.35629285762653656
1,11,-1,-1,0.0575822680725197
1,12,1,1,0.42892582969478454
1,12,1,-1,0.15719904460615858
1,12,-1,1,0.2848724624451531
1,12,-1,-1,0.12900266325390328
1,13,1,1,0.4671892354417394
1,13,1,-1,0.11893563885920369
1,13,-1,1,0.25856254770178044
1,13,-1,-1,0.1553125779972758
1,14,1,1,0.03396877239193705
1,14,1,-1,0.5521561019090061
1,14,-1,1,0.03801030780246986
1,14,-1,-1,0.3758648178965864
1,15,1,1,0.059456026782860605
1,15,1,-1,0.5266688475180825
1,15,-1,1,0.031574503246227376
1,15,-1,-1,0.3823006224528289
1,16,1,1,0.044257392933996796
1,16,1,-1,0.5418674813669463
1,16,-1,1,0.032568830343427946
1,16,-1,-1,0.3813062953556283
1,17,1,1,0.040753114936432806
1,17,1,-1,0.5453717593645104
1,17,-1,1,0.042367404779337675
1,17,-1,-1,0.37150772091971856
1,18,1,1,0.3592979412547014
1,18,1,-1,0.22682693304624174
1,18,-1,1,0.22017073978088122
1,18,-1,-1,0.19370438591817513
1,19,1,1,0.4484055641082701
1,19,1,-1,0.13771931019267306
1,19,-1,1,0.23918067723188008
1,19,-1,-1,0.17469444846717613
1,20,1,1,0.18414341433276296
1,20,1,-1,0.40198145996818013
1,20,-1,1,0.07969626721400802
1,20,-1,-1,0.33417885848504825
2,3,1,1,0.4311715579348677
2,3,1,-1,0.2396251173368725
2,3,-1,1,0.11465630744169311
2,3,-1,-1,0.21454701728656603
2,4,1,1,0.6182946530061796
2,4,1,-1,0.05250202226556064
2,4,-1,1,0.28439472594777465
2,4,-1,-1,0.04480859878048452
2,5,1,1,0.6188931657251407
2,5,1,-1,0.051903509546599634
2,5,-1,1,0.28602586902732297
2,5,-1,-1,0.04317745570093615
2,6,1,1,0.25634254248349586
2,6,1,-1,0.4144541327882444
2,6,-1,1,0.1100234915747979
2,6,-1,-1,0.21917983315346123
2,7,1,1,0.4354660596573692
2,7,1,-1,0.23533061561437113
2,7,-1,1,0.23921135626809126
2,7,-1,-1,0.08999196846016787
2,8,1,1,0.07109483757917462
2,8,1,-1,0.5997018376925656
2,8,-1,1,0.12517992872584732
2,8,-1,-1,0.20402339600241187
2,9,1,1,0.21249696817821573
2,9,1,-1,0.4582997070935245
2,9,-1,1,0.22719324175095462
2,9,-1,-1,0.10201008297730456
2,10,1,1,0.4970819644886544
2,10,1,-1,0.17371471078308584
2,10,-1,1,0.25410917496061103
2,10,-1,-1,0.07509414976764811
2,11,1,1,0.6170941231472062
2,11,1,-1,0.05370255212453402
2,11,-1,1,0.2875189255079359
2,11,-1,-1,0.0416843992203233
2,12,1,1,0.5010034157972332
2,12,1,-1,0.16979325947450707
2,12,-1,1,0.2127948763427044
2,12,-1,-1,0.1164084483855548
2,13,1,1,0.4855642513049852
2,13,1,-1,0.18523242396675504
2,13,-1,1,0.24018753183853475
2,13,-1,-1,0.08901579288972443
2,14,1,1,0.029777437773207724
2,14,1,-1,0.6410192374985325
2,14,-1,1,0.0422016424211992
2,14,-1,-1,0.2870016823070599
2,15,1,1,0.030016372870099204
2,15,1,-1,0.640780302401641
2,15,-1,1,0.06101415715898876
2,15,-1,-1,0.26818916756927036
2,16,1,1,0.026815885696575018
2,16,1,-1,0.6439807895751654
2,16,-1,1,0.050010337580849724
2,16,-1,-1,0.2791929871474095
2,17,1,1,0.04199402002189895
2,17,1,-1,0.6288026552498415
2,17,-1,1,0.041126499693871534
2,17,-1,-1,0.28807682503438764
2,18,1,1,0.42295070689191494
2,18,1,-1,0.2478459683798252
2,18,-1,1,0.15651797414366758
2,18,-1,-1,0.17268535058459156
2,19,1,1,0.47613771735520033
2,19,1,-1,0.19465895791653992
2,19,-1,1,0.2114485239849499
2,19,-1,-1,0.11775480074330925
2,20,1,1,0.18081884349125577
2,20,1,-1,0.4899778317804845
2,20,-1,1,0.08302083805551523
2,20,-1,-1,0.24618248667274392
3,4,1,1,0.49565537137930415
3,4,1,-1,0.05017249399725669
3,4,-1,1,0.4070340075746502
3,4,-1,-1,0.047138127048788475
3,5,1,1,0.4992263063614334
3,5,1,-1,0.04660155901512739
3,5,-1,1,0.4056927283910303
3,5,-1,-1,0.04847940623240841
3,6,1,1,0.21040619148098194
3,6,1,-1,0.33542167389557886
3,6,-1,1,0.15595984257731174
3,6,-1,-1,0.2982122920461268
3,7,1,1,0.42281354666465487
3,7,1,-1,0.12301431871190602
3,7,-1,1,0.2518638692608056
3,7,-1,-1,0.20230826536263294
3,8,1,1,0.12638793036304802
3,8,1,-1,0.41943993501351284
3,8,-1,1,0.06988683594197392
3,8,-1,-1,0.38428529868146466
3,9,1,1,0.26861920500765846
3,9,1,-1,0.27720866036890235
3,9,-1,1,0.17107100492151187
3,9,-1,-1,0.28310112970192675
3,10,1,1,0.42680646610349116
