entry_id,p_ind,p_raw,p_norm
23,769975,0.0006644353718787327,0.8871896959505821
23,704439,2.848287843526141e-5,0.03803186484085767
23,769971,5.413354241017442e-5,0.07228200523974516
23,704435,1.8696328868688584e-6,0.002496433968815145
173,835460,1.6174949187200658e-7,0.001400815678953154
173,311172,2.419988219871205e-7,0.0020958071657869635
173,827268,8.133316320329888e-8,0.0007043779174539388
173,302980,2.738564242288049e-7,0.0023717068189946415
173,831364,1.6651043793155893e-6,0.014420473873788506
173,307076,2.170955583588331e-6,0.018801348830250898
173,823172,9.846949453548988e-7,0.008527854415336097
173,298884,2.889323213995706e-6,0.025022701542279004
173,833412,1.017669247188574e-7,0.0008813425136310585
173,309124,1.7869258842460326e-7,0.0015475497120942012
173,825220,2.46796646950333e-7,0.002137358260356455
173,300932,9.75268252601461e-7,0.00844621546329451
173,829316,6.938684230556969e-6,0.06009179719192292
173,305028,1.0617350658896715e-5,0.09195052855989917
173,821124,1.9789974535019597e-5,0.1713891419002156
173,296836,6.81505265623622e-5,0.5902109801557428
174,370564,0.0007150715804041782,1.0
176,495495,0.0004151037617969749,0.044136224322517535
176,429959,1.246490040043244e-5,0.0013253400495570602
176,462727,1.2470794779818397e-5,0.0013259667739444626
176,397191,2.7976211860930094e-6,0.0002974592080406641
176,493447,0.0018147799469871704,0.19295786308823556
176,427911,0.0001036482262130772,0.011020476766984469
176,460679,3.187466661941807e-5,0.0033890982583004627
176,395143,1.360022789225741e-5,0.0014460546117228835
176,495494,0.0008546147514696288,0.09086756577899793
176,429958,1.328164915527411e-5,0.0014121814843414064
176,462726,1.987581776175015e-5,0.0021133114947658274
176,397190,2.307646370346362e-6,0.00024536226175773636
176,493446,0.005838732606593593,0.620807701111251
176,427910,0.00017258615939538035,0.01835035513304227
176,460678,7.938846846546361e-5,0.008441039506952372
176,395142,1.7531030031707033e-5,0.0018640001495882662
182,375686,1.7156104643057237e-5,0.005660075012789864
182,367494,6.271968113760785e-6,0.002069223214727728
182,371590,8.845994348447242e-5,0.029184358930328978
182,363398,3.803358997384961e-5,0.012547893402177303
182,373638,2.6744342298386833e-5,0.008823388917591912
182,365446,4.715469534320493e-5,0.01555709284833501
182,369542,0.0009133386330692038,0.3013251132938665
182,361350,0.0018939144463533876,0.6248328543801828
190,976775,9.852691796874522e-5,0.8297379237594943
190,976771,6.804203945212666e-6,0.05730115353986666
190,976773,7.068190251599243e-6,0.059524296760804715
190,976769,6.3453120675085026e-6,0.05343662593983422
196,376710,0.0005107359629417811,0.015983398539322183
196,368518,0.00018554172209090406,0.005806497887420404
196,372614,0.0030861369471076143,0.09658015168626544
196,364422,0.0013185476989765583,0.04126373487478671
196,374662,0.00015637750478413409,0.004893808470335754
196,366470,0.00027398531667631465,0.00857432573405668
196,370566,0.006258423798460716,0.1958563505546186
196,362374,0.012895954314463156,0.40357678391339713
196,375686,1.7156104643057237e-5,0.0005368974926160762
196,367494,6.271968113760785e-6,0.00019628021768967665
