q1,q2,Jij
1,2,-0.24880257666
1,3,0.28008639331
1,4,-0.018044383408
1,5,0.070101262088
1,6,-0.11867952622
1,7,0.18836389302
1,8,-0.037890944656
1,9,0.02347142935
1,10,0.14040082808
1,11,0.12208979344
1,12,-0.21865740798
1,13,0.19716927267
1,14,-0.19882769552
1,15,0.27776465098
1,16,0.10585980291
1,17,-0.061689187231
1,18,-0.020093319193
1,19,0.15056354351
1,20,0.09251725509
2,3,0.54190736169
2,4,0.096730710576
2,5,-0.10515282789
2,6,0.092556005656
2,7,-0.026812628466
2,8,-0.37725586942
2,9,-0.45502985813
2,10,0.054686602739
2,11,-0.028089743007
2,12,0.15970131011
2,13,-0.1146465285
2,14,-0.096510987278
2,15,-0.1852820231
2,16,-0.23998330085
2,17,0.27956368729
2,18,0.26521831208
2,19,0.0015645537816
2,20,0.07030150945
3,4,-0.054545138158
3,5,0.082352063668
3,6,0.039702412849
3,7,0.20057438224
3,8,0.2113280942
3,9,0.093998965883
3,10,-0.013662087373
3,11,-0.14289643088
3,12,0.16105996758
3,13,-0.014999040619
3,14,-0.14945526704
3,15,0.051750472259
3,16,-0.0025864003661
3,17,0.0037061286365
3,18,-0.068395118411
3,19,0.11525074658
3,20,0.3257366882
4,5,0.54602219017
4,6,0.017161690601
4,7,0.22330413396
4,8,0.11794961585
4,9,0.17747893181
4,10,0.043411367478
4,11,0.29396316208
4,12,0.074737690533
4,13,0.11145512364
4,14,-0.24252220704
4,15,-0.11400524226
4,16,-0.16669074017
4,17,-0.34822468014
4,18,-0.085212021512
4,19,0.075999557362
4,20,-0.15709817928
5,6,0.0011926912726
5,7,0.082516662871
5,8,0.090414261348
5,9,-0.14520443055
5,10,0.16075308381
5,11,0.27880729492
5,12,-0.045229739672
5,13,0.17633616659
5,14,-0.30771396242
5,15,-0.15577635429
5,16,-0.216079814
5,17,-0.15622055374
5,18,0.011542568037
5,19,0.10455974844
5,20,-0.045377336854
6,7,0.21485437273
6,8,0.006102370063
6,9,0.15380722897
6,10,-0.42567849397
6,11,-0.065467500197
6,12,-0.098856217447
6,13,-0.11650732893
6,14,-0.080169431194
6,15,0.039310901656
6,16,0.040516959647
6,17,0.057413698067
6,18,0.11767406225
6,19,-0.020000740505
6,20,0.01624943851
7,8,0.053954366839
7,9,0.36336728907
7,10,0.0058173338953
7,11,0.3037320344
7,12,-0.17655559771
7,13,0.19479084012
7,14,0.066643830225
7,15,0.0065550974856
7,16,-0.13421489795
7,17,-0.051832664194
7,18,-0.055207145987
7,19,0.058733765795
7,20,0.10218833485
8,9,0.46890887236
8,10,-0.019446868649
8,11,-0.16230232851
8,12,0.12468876678
8,13,0.040692351144
8,14,0.17949218585
8,15,0.44790915357
8,16,0.30578389335
8,17,0.21262222898
8,18,0.20141806561
8,19,-0.0048394135845
8,20,-0.036558836278
9,10,0.40605762126
9,11,0.24201456845
9,12,0.10161211994
9,13,0.0043136179857
9,14,-0.10602801852
9,15,0.29829245095
9,16,0.14026699101
9,17,0.051620131266
9,18,0.072143075277
9,19,0.064028133601
9,20,0.14034885431
10,11,0.043402868898
10,12,0.034370368539
10,13,0.02975975857
10,14,-0.078910353361
10,15,-0.047725821609
10,16,-0.15646400004
10,17,-0.044709018348
10,18,0.021751813451
10,19,0.20164681192
10,20,0.026857132768
11,12,0.38419235079
11,13,0.34756713425
11,14,-0.30701650151
11,15,-0.20949671826
11,16,-0.24256099811
11,17,-0.19274525868
11,18,0.0099944248419
11,19,0.14320623606
11,20,-0.24537504028
12,13,0.7986334465
12,14,0.0076265461093
12,15,-0.044942093726
12,16,0.057577907069
12,17,0.083838345225
12,18,0.085775004122
12,19,0.21484629828
12,20,-0.089200026533
13,14,-0.032831185406
13,15,0.10796489357
13,16,-0.036514663176
13,17,0.10430001432
13,18,0.16435476452
13,19,-0.1605691135
13,20,0.18970663148
14,15,0.40117823367
14,16,0.4084642744
14,17,0.44488893829
14,18,0.0019727539031
14,19,0.0044849097618
14,20,0.17487716259
15,16,0.71608877092
15,17,0.39405192541
15,18,-0.014948546746
15,19,0.14800292879
15,20,-0.020119389197
16,17,0.32956523908
16,18,0.039919783334
16,19,0.0091775627994
16,20,0.33788818099
17,18,-0.016583996937
17,19,-0.1336626924
17,20,0.011921251436
18,19,0.60295567263
18,20,0.20189780559
19,20,-0.051628227689
