q1,q2,probability
1,2,0.4580578572847545
1,3,0.6296133558870961
1,4,0.5955576297809527
1,5,0.6007155371571988
1,6,0.4232236371355564
1,7,0.6612448074230843
1,8,0.48715715037784635
1,9,0.5971274449235413
1,10,0.638062446299716
1,11,0.6059024591011252
1,12,0.5579284929486878
1,13,0.6225018134390152
1,14,0.4098335902885234
1,15,0.4417566492356895
1,16,0.4255636882896251
1,17,0.41226083585615136
1,18,0.5530023271728766
1,19,0.6231000125754462
1,20,0.5183222728178112
2,3,0.6457185752214337
2,4,0.6631032517866641
2,5,0.6620706214260769
2,6,0.4755223756369571
2,7,0.5254580281175371
2,8,0.2751182335815865
2,9,0.3145070511555203
2,10,0.5721761142563024
2,11,0.6587785223675295
2,12,0.6174118641827879
2,13,0.5745800441947096
2,14,0.31677912008026765
2,15,0.2982055404393696
2,16,0.3060088728439845
2,17,0.3300708450562866
2,18,0.5956360574765065
2,19,0.5938925180985096
2,20,0.42700133016399966
3,4,0.5427934984280927
3,5,0.5477057125938418
3,6,0.5086184835271088
3,7,0.6251218120272878
3,8,0.5106732290445126
3,9,0.5517203347095851
3,10,0.5565939273811554
3,11,0.5433870487103671
3,12,0.5933743300835115
3,13,0.5816792993631936
3,14,0.4577213302728189
3,15,0.47351899216362037
3,16,0.467230047429731
3,17,0.46519254511691177
3,18,0.5817665454669174
3,19,0.6049125174078747
3,20,0.6012150660902116
4,5,0.9442876442433191
4,6,0.3593299299244898
4,7,0.7033353664922423
4,8,0.19883522725606542
4,9,0.454118920325007
4,10,0.7674447829203732
4,11,0.9394261692227764
4,12,0.7354943864134658
4,13,0.7511003068076255
4,14,0.05273473404442494
4,15,0.08007058264871911
4,16,0.06185940180149224
4,17,0.06212489886199059
4,18,0.5745383260510897
4,19,0.6990580979079952
4,20,0.2485277787119348
5,6,0.35489956073685425
5,7,0.6961078437672271
5,8,0.1960174964709764
5,9,0.44414972783837015
5,10,0.7720767207230874
5,11,0.938132295414724
5,12,0.7327048072826756
5,13,0.7516425162015521
5,14,0.050953090178488744
5,15,0.07810590361577043
5,16,0.06019758464136772
5,17,0.06285464223607803
5,18,0.5785910689563075
5,19,0.7019211343129492
5,20,0.25237425653506074
6,7,0.49490217435697803
6,8,0.6051370405946409
6,9,0.5386204598905088
6,10,0.2947029050538245
6,11,0.3501073313242223
6,12,0.3776390493898756
6,13,0.37150103001992396
6,14,0.6453417722938409
6,15,0.6402659108854276
6,16,0.6457686332660086
6,17,0.6458277055944135
6,18,0.49884686756874
6,19,0.4223631881994904
6,20,0.5938058712231886
7,8,0.4280765193293759
7,9,0.6349862645167058
7,10,0.6476904012105967
7,11,0.7089012570345687
7,12,0.6117190862199599
7,13,0.6686640169298876
7,14,0.31307600876453884
7,15,0.3392682372437123
7,16,0.32272333723110497
7,17,0.3167797930220428
7,18,0.5638479696772039
7,19,0.6370681992410641
7,20,0.45843821712736876
8,9,0.6952786112266883
8,10,0.34700589319857084
8,11,0.1985281879797324
8,12,0.38079491889816386
8,13,0.37659488045804745
8,14,0.8352302471051842
8,15,0.860534443929197
8,16,0.8500351592971157
8,17,0.8299024687178064
8,18,0.5010992620439468
8,19,0.4071858886834258
8,20,0.7108810204961581
9,10,0.5729012946986317
9,11,0.46015076752354955
9,12,0.5252243430522702
9,13,0.542761121765655
9,14,0.5730610390732456
9,15,0.6067452403127327
9,16,0.5895989905161079
9,17,0.5729547703724911
9,18,0.5569234250917579
9,19,0.5549904737231312
9,20,0.6092719869206649
10,11,0.7752024239146256
10,12,0.6890705775071745
10,13,0.7012517229776596
10,14,0.23086430478251818
10,15,0.25459575308893956
10,16,0.2385921499758568
10,17,0.23693567729921103
10,18,0.5957300052555469
10,19,0.7029686227989848
10,20,0.37801470596820475
11,12,0.7601363641688709
11,13,0.7747249158524306
11,14,0.053059395788866356
11,15,0.0809929904971868
11,16,0.06251236188142871
11,17,0.06530970958363626
11,18,0.5864708261542543
11,19,0.7104643595531284
11,20,0.24997140461090192
12,13,0.8470984560316275
12,14,0.27134934990156206
12,15,0.2927290440441338
12,16,0.2803435801970102
12,17,0.2821063372455048
12,18,0.6419839430498194
12,19,0.6939759269736703
12,20,0.3998989052728038
13,14,0.2585626868956024
13,15,0.28539065719163376
13,16,0.2695034710747071
13,17,0.26914706737489097
13,18,0.6284270792947297
13,19,0.6653166302553422
13,20,0.4160348358009932
14,15,0.9540932375556724
14,16,0.9709452902940203
14,17,0.9637518413394646
14,18,0.4288645871371824
14,19,0.30567855564363794
14,20,0.7664937466002663
15,16,0.9673905163664233
15,17,0.9447537930235188
15,18,0.44416533483987325
15,19,0.3313015746040193
15,20,0.7627480867567141
16,17,0.9594524821060907
16,18,0.43710613058511455
16,19,0.31609178628803253
16,20,0.7739382879312826
17,18,0.43169558021526966
17,19,0.30809557341314475
17,20,0.7598381133411297
18,19,0.7585266368357139
18,20,0.5387822151544192
19,20,0.4355069811651199
