node_x,node_y,hamming
1,0,1
4,0,1
8,0,1
10,0,1
11,0,1
14,0,1
16,0,1
81,0,1
116,0,1
137,0,1
147,0,1
0,1,1
2,1,1
6,1,1
19,1,1
20,1,1
23,1,1
24,1,1
26,1,1
110,1,1
1,2,1
4,2,1
7,2,1
22,2,1
35,2,1
40,2,1
98,2,1
13,3,1
15,3,1
17,3,1
42,3,1
55,3,1
59,3,1
70,3,1
72,3,1
73,3,1
118,3,1
0,4,1
2,4,1
29,4,1
30,4,1
47,4,1
84,4,1
135,4,1
12,5,1
20,5,1
21,5,1
26,5,1
33,5,1
39,5,1
41,5,1
77,5,1
112,5,1
115,5,1
1,6,1
7,6,1
16,6,1
25,6,1
36,6,1
64,6,1
71,6,1
100,6,1
2,7,1
6,7,1
29,7,1
38,7,1
45,7,1
119,7,1
0,8,1
13,8,1
17,8,1
30,8,1
49,8,1
110,8,1
141,8,1
12,9,1
19,9,1
20,9,1
27,9,1
44,9,1
58,9,1
103,9,1
0,10,1
24,10,1
28,10,1
49,10,1
57,10,1
66,10,1
84,10,1
114,10,1
0,11,1
13,11,1
15,11,1
26,11,1
41,11,1
66,11,1
83,11,1
5,12,1
9,12,1
61,12,1
68,12,1
105,12,1
133,12,1
3,13,1
8,13,1
11,13,1
52,13,1
104,13,1
0,14,1
15,14,1
17,14,1
23,14,1
37,14,1
47,14,1
57,14,1
3,15,1
11,15,1
14,15,1
34,15,1
51,15,1
80,15,1
0,16,1
6,16,1
29,16,1
37,16,1
46,16,1
83,16,1
114,16,1
141,16,1
3,17,1
8,17,1
14,17,1
76,17,1
90,17,1
124,17,1
125,17,1
42,18,1
48,18,1
50,18,1
63,18,1
67,18,1
70,18,1
87,18,1
121,18,1
1,19,1
9,19,1
22,19,1
36,19,1
88,19,1
147,19,1
1,20,1
5,20,1
9,20,1
31,20,1
35,20,1
64,20,1
137,20,1
5,21,1
31,21,1
32,21,1
62,21,1
105,21,1
107,21,1
126,21,1
143,21,1
2,22,1
19,22,1
27,22,1
45,22,1
1,23,1
14,23,1
25,23,1
34,23,1
40,23,1
88,23,1
130,23,1
1,24,1
10,24,1
31,24,1
74,24,1
98,24,1
100,24,1
130,24,1
6,25,1
23,25,1
37,25,1
38,25,1
56,25,1
108,25,1
1,26,1
5,26,1
11,26,1
34,26,1
71,26,1
9,27,1
22,27,1
35,27,1
92,27,1
10,28,1
65,28,1
74,28,1
82,28,1
86,28,1
140,28,1
4,29,1
7,29,1
16,29,1
91,29,1
113,29,1
4,30,1
8,30,1
76,30,1
20,31,1
21,31,1
24,31,1
58,31,1
111,31,1
21,32,1
79,32,1
85,32,1
89,32,1
111,32,1
5,33,1
64,33,1
68,33,1
71,33,1
102,33,1
143,33,1
15,34,1
23,34,1
26,34,1
39,34,1
56,34,1
118,34,1
2,35,1
20,35,1
27,35,1
115,35,1
119,35,1
6,36,1
19,36,1
44,36,1
45,36,1
108,36,1
14,37,1
16,37,1
25,37,1
51,37,1
53,37,1
113,37,1
124,37,1
7,38,1
25,38,1
40,38,1
113,38,1
5,39,1
34,39,1
61,39,1
102,39,1
107,39,1
128,39,1
2,40,1
23,40,1
38,40,1
47,40,1
5,41,1
11,41,1
52,41,1
62,41,1
137,41,1
3,42,1
18,42,1
80,42,1
90,42,1
104,42,1
131,42,1
142,42,1
93,43,1
120,43,1
121,43,1
127,43,1
134,43,1
9,44,1
36,44,1
64,44,1
68,44,1
92,44,1
7,45,1
22,45,1
36,45,1
92,45,1
16,46,1
53,46,1
81,46,1
91,46,1
4,47,1
14,47,1
40,47,1
76,47,1
113,47,1
18,48,1
65,48,1
80,48,1
86,48,1
132,48,1
149,48,1
8,49,1
10,49,1
82,49,1
90,49,1
104,49,1
18,50,1
97,50,1
132,50,1
138,50,1
15,51,1
37,51,1
56,51,1
59,51,1
69,51,1
83,51,1
13,52,1
41,52,1
73,52,1
77,52,1
109,52,1
37,53,1
46,53,1
69,53,1
146,53,1
60,54,1
93,54,1
3,55,1
96,55,1
125,55,1
131,55,1
25,56,1
34,56,1
51,56,1
71,56,1
102,56,1
10,57,1
14,57,1
65,57,1
