simulation,timestep,config_id
1,1,1031816
1,2,1032072
1,3,1032070
1,4,1032072
1,5,1032071
1,6,1030023
1,7,1025927
1,8,1025927
1,9,1025928
1,10,1025927
2,1,1031816
2,2,1032072
2,3,1027976
2,4,1027976
2,5,1025928
2,6,1025927
2,7,1017735
2,8,1025927
2,9,1027975
2,10,1025927
3,1,1031816
3,2,1032072
3,3,1027976
3,4,1027975
3,5,1027976
3,6,1032072
3,7,769928
3,8,1032072
3,9,1032071
3,10,769927
4,1,1031816
4,2,1031816
4,3,1032072
4,4,1027976
4,5,1027976
4,6,1025928
4,7,501640
4,8,501640
4,9,1025928
4,10,1025928
5,1,1031816
5,2,1032072
5,3,1027976
5,4,1027975
5,5,1027975
5,6,1027975
5,7,1027975
5,8,1025927
5,9,1017735
5,10,1025927
6,1,1031816
6,2,1032072
6,3,1027976
6,4,1027975
6,5,1027976
6,6,1027976
6,7,1032072
6,8,1032072
6,9,769928
6,10,1032072
7,1,1031816
7,2,1027720
7,3,1027976
7,4,1027975
7,5,1025927
7,6,894855
7,7,886663
7,8,1017735
7,9,1017735
7,10,1025927
8,1,1031816
8,2,1032072
8,3,1027976
8,4,1027975
8,5,1027975
8,6,1027975
8,7,1027975
8,8,1027975
8,9,1027975
8,10,1027971
9,1,1031816
9,2,1032072
9,3,769928
9,4,769927
9,5,1032071
9,6,1027975
9,7,1027463
9,8,1027975
9,9,765831
9,10,765829
10,1,1031816
10,2,1032072
10,3,1027976
10,4,1027976
10,5,1027975
10,6,1025927
10,7,1027975
10,8,1027975
10,9,1027719
10,10,1027975
