simulation,timestep,config_id
1,1,503687
1,1,370565
1,1,362371
1,1,1032103
1,1,507655
1,1,769944
1,1,377351
1,1,1025666
1,2,1027975
1,2,378375
1,2,362375
1,2,769928
1,2,1025665
1,2,362373
1,2,1032071
1,2,503559
1,3,362373
1,4,362375
1,4,493447
1,5,886663
1,3,902663
1,3,503687
1,4,507783
1,3,786312
1,5,362375
1,6,370567
1,3,1025921
1,3,1027975
1,4,1025927
1,3,769927
1,5,1032071
1,6,1032071
1,7,769927
1,6,894855
1,7,501639
1,4,904711
1,4,782216
1,4,769927
1,5,765831
1,8,1032071
1,9,1027975
1,10,1027975
1,5,894855
1,4,1025923
2,1,507655
2,2,507783
2,3,507783
2,4,506759
1,8,370567
1,9,501639
1,10,505735
1,7,894855
1,8,1025927
1,9,1025927
1,10,1042311
1,5,912903
1,5,1044360
2,5,507783
2,1,362371
2,2,362375
2,6,245639
2,3,886663
2,4,624519
1,6,769927
1,7,638855
2,7,262023
1,6,1025927
1,7,1025923
1,5,1025927
1,6,894855
1,7,894851
2,8,786311
2,5,632711
1,8,634759
1,6,1043975
2,1,370565
2,2,362373
2,3,362375
2,4,362375
2,5,886663
2,6,362375
2,7,362375
2,8,361351
1,6,1044359
2,6,632711
2,7,624519
2,8,624515
2,9,362375
2,10,362375
3,1,370565
3,2,370567
3,3,370567
3,4,370567
3,5,362375
3,6,362375
3,7,493447
3,8,493443
1,9,634759
1,10,634755
1,8,1025923
1,9,1025923
1,10,1025923
2,1,503687
2,2,372615
2,9,769927
2,10,638855
3,1,507655
3,2,507783
3,3,376711
1,8,1025923
1,9,1025927
1,10,1027975
2,1,1025666
2,2,501378
2,3,370567
2,4,362375
2,5,362375
2,6,886663
2,7,1017735
3,9,493443
3,10,1017731
3,4,376583
1,7,1043463
2,9,624513
1,7,1044359
1,8,1044360
1,9,1044360
1,10,1027976
2,1,1032103
2,2,1048487
2,3,1025666
2,4,1025666
2,5,1024642
3,5,376711
3,6,114567
3,7,113543
2,10,558977
3,8,114567
3,9,114311
2,8,755591
4,1,370565
4,2,362373
4,3,362369
3,10,638599
1,8,1043975
1,9,1043975
1,10,1044103
2,1,769944
2,2,769928
2,3,1032072
2,6,1024642
2,7,1024641
2,3,1032103
2,4,769959
4,4,362369
4,5,100225
3,1,362371
3,2,886659
4,6,624513
4,7,632705
4,1,507655
4,2,376583
4,3,372487
2,9,1017735
2,10,1017735
3,1,503687
3,2,503688
2,5,769927
2,6,769927
2,7,769928
2,8,769927
2,9,765831
2,10,769927
3,1,1032103
3,2,1032071
3,3,1027975
3,4,503687
3,5,503688
