simulation,timestep,config_id
1,1,1025539
1,1,886279
1,1,632323
1,1,558595
1,1,511880
1,1,262145
1,1,1017479
1,2,624131
1,2,511880
1,2,262657
1,2,886407
1,2,1017735
1,2,1027975
1,2,763395
1,2,632321
1,3,520072
1,3,262145
1,4,262209
1,3,624135
1,3,894465
1,5,262145
1,6,327681
1,4,1044360
1,3,779779
1,3,886663
1,7,65537
1,3,886663
1,3,1025927
1,4,501639
1,8,1
1,9,16385
1,10,49153
1,4,99847
2,1,262145
2,2,294913
1,5,361991
1,4,894467
1,5,1025927
1,6,501639
1,7,501639
1,8,518023
1,4,781827
1,5,1027976
2,3,360449
1,4,362375
1,4,362375
1,6,493063
2,4,360961
1,9,501639
1,10,1025927
2,1,1025927
2,2,1017735
2,3,886663
2,4,362375
1,5,886663
1,6,886663
1,7,1017735
1,8,493447
1,5,493447
1,7,493319
1,5,632323
1,6,634371
1,5,650755
2,5,361985
2,5,362371
1,9,362375
1,10,362247
1,6,362375
1,7,493447
1,8,493445
1,6,1025928
1,8,493319
1,9,493447
1,10,509831
2,6,362241
2,6,886659
2,1,886279
2,2,1017351
1,7,634369
1,6,634371
1,7,632323
1,8,624131
1,9,626179
1,9,492421
2,7,493313
2,1,558595
2,2,624131
2,3,886275
1,8,634497
1,10,492421
2,1,1017479
2,2,1017735
2,3,1017735
2,4,1025927
2,5,1017735
2,6,1025927
2,7,1025927
2,8,1027975
2,9,1027976
2,10,1025928
2,8,493315
1,7,1027976
1,8,1032072
1,10,626307
2,7,886663
2,8,894855
2,3,1017347
2,9,362243
1,9,634497
1,10,634753
2,4,886273
2,1,1025539
2,2,992771
2,10,362247
3,1,262145
3,2,263169
3,1,1017479
3,2,1017735
3,3,1017736
2,9,894855
2,10,886663
3,1,1025927
3,2,1025927
3,3,1027975
3,4,1032071
1,9,1027976
1,10,1025928
2,1,511880
2,2,520072
2,3,1044360
2,4,1027976
2,5,1025928
2,6,1025928
2,7,1025927
2,8,1042311
2,1,632323
2,2,632321
2,3,624129
2,4,1017351
2,5,1017351
2,6,1025543
3,3,262145
3,4,262145
3,5,262209
3,6,262145
3,7,262145
3,8,262145
3,9,262145
3,10,1
4,1,262145
4,2,263169
4,3,263681
2,5,361985
2,6,361985
2,7,361986
4,4,296449
2,3,1025539
2,4,763395
2,5,1025539
2,6,501251
2,8,361985
2,9,886273
2,10,624129
2,4,886273
2,5,361985
2,6,361473
4,5,361985
4,6,329217
3,4,1025928
3,5,501640
3,5,1023879
2,9,1025927
2,10,763783
2,7,1025539
2,8,1025537
4,7,361985
4,8,360961
4,9,377345
2,7,361985
2,8,886273
2,9,894465
2,10,632321
3,1,632323
3,2,632323
3,3,624131
3,4,624129
3,5,632321
3,6,894465
3,7,1025537
2,7,1025671
3,1,558595
3,2,624131
3,3,624129
3,4,624129
3,5,624129
3,6,632321
3,7,631297
3,6,501640
3,7,501639
3,8,370567
4,10,377601
3,1,511880
3,2,495496
3,9,501639
3,10,493447
4,1,1017479
4,2,1017735
4,3,493447
4,4,493447
4,5,495495
3,6,1019783
5,1,262145
5,2,262145
5,3,262145
5,4,270337
2,9,1025539
2,10,1027587
3,8,647681
3,8,1025537
2,8,1025671
3,9,1025539
2,9,1025927
3,10,1025539
2,10,1017735
3,1,886279
4,1,632323
3,2,886279
4,2,634371
3,3,361991
4,3,634369
4,4,634369
3,4,362247
4,5,632321
3,5,362375
4,6,631297
3,6,362375
4,7,623105
3,7,361351
5,5,262145
5,6,262209
5,7,262209
5,8,262145
5,9,327681
5,10,328705
3,3,493448
4,6,1019783
3,8,362375
3,9,493447
3,10,460679
6,1,262145
6,2,1
6,3,524289
3,9,631297
3,10,632321
4,1,558595
4,2,558723
4,8,624129
4,9,624131
4,10,632323
5,1,632323
5,2,634371
5,3,634371
5,4,634375
3,4,362376
3,7,1027975
3,8,1044359
4,1,886279
4,2,886275
4,3,361987
3,1,1025539
3,2,1017347
3,3,1017351
3,4,886279
3,5,1017351
3,6,886279
3,7,894471
6,4,540673
3,5,362375
3,6,362375
3,7,362375
3,8,378759
4,3,624259
4,7,1027975
4,8,1025927
4,9,1017735
4,10,1017735
5,1,1017479
5,2,1019527
4,4,361987
4,5,361985
4,6,361987
4,7,361991
4,8,362247
4,9,362245
5,5,650759
3,9,362375
3,10,362375
4,1,511880
4,2,520072
4,3,520071
6,5,540737
4,10,362373
4,4,624515
3,8,1025543
3,9,1025671
3,10,1025927
4,1,1025539
4,2,1027587
4,3,765443
3,9,1027975
3,10,1032071
4,1,1025927
4,2,1025927
4,3,1017735
4,4,886663
4,5,362375
4,6,361351
4,7,362375
4,8,493447
4,9,362375
4,10,362375
5,1,1025927
5,2,1027975
5,3,765831
5,6,634375
5,7,634371
5,8,634375
5,9,634371
5,10,110083
5,1,886279
5,2,361991
5,3,361987
5,4,99843
4,4,1044359
4,5,782215
6,6,16449
6,1,632323
6,2,632323
6,3,632323
6,4,632321
6,5,632449
6,7,16961
5,5,99843
5,6,361987
5,7,362243
5,8,362241
5,9,361985
5,10,362241
6,1,886279
6,2,886275
6,3,894467
6,4,1025539
6,5,1017347
6,6,1025539
6,7,1025795
6,8,16449
6,9,16449
6,10,65
7,1,262145
7,2,278529
5,3,1027719
4,5,626563
4,4,1027587
4,5,1025539
4,6,1027587
4,7,1025539
4,8,1025539
4,9,1025539
4,10,1025667
7,3,278529
7,4,409601
5,4,634759
6,6,632705
4,6,257927
7,5,278529
7,6,279041
4,6,634755
4,7,126855
5,4,1027975
5,5,1032071
5,6,1032072
5,7,1030024
5,5,638855
7,7,287233
4,8,651143
6,7,632707
5,1,1025539
5,2,1025539
5,3,1025539
5,4,894467
5,5,632323
5,6,624131
5,7,624131
5,8,624129
5,9,624131
5,10,624131
6,1,1025539
6,2,1025795
6,3,1025923
7,8,288257
4,7,634759
4,8,634760
5,6,638887
7,9,353793
4,9,782215
4,10,765831
5,1,511880
5,2,520072
5,3,1044360
5,4,1042312
6,8,894851
6,9,501635
5,8,1025928
5,9,1017736
5,10,1017735
6,1,1017479
6,2,1017735
6,3,1017735
6,4,1017735
6,5,1025927
6,6,1042311
6,7,1042312
7,10,337409
4,9,765832
5,7,638855
5,8,769927
6,4,1025927
6,5,1030023
6,10,501635
7,1,886279
7,2,624135
7,3,624131
7,4,624135
7,5,886279
7,6,886535
8,1,262145
8,2,278529
8,3,278537
6,9,894855
6,10,894599
5,5,1041288
8,4,278601
6,8,1044360
6,9,1044360
6,10,1042312
7,1,1017479
7,2,1017735
7,3,1025927
7,4,1025927
7,5,1027975
7,6,1025927
7,7,1025923
7,8,1025927
7,9,1027975
7,10,1025927
8,1,1017479
8,2,1017735
8,3,1025927
8,4,1025928
8,5,1042312
8,6,1025928
8,7,1025927
8,8,1025927
8,9,1025928
8,10,1025927
9,1,1017479
9,2,1017735
9,3,493447
9,4,501639
9,5,370567
9,6,362375
9,7,493447
9,8,362375
9,9,886663
9,10,1017735
10,1,1017479
10,2,1017735
10,3,1034119
4,10,1027976
5,1,558595
5,2,624131
5,3,624129
5,4,624131
5,5,624131
5,6,623107
5,9,1032071
5,10,1027975
6,1,1025927
6,2,1017735
6,3,1025927
6,4,1025928
6,5,1025928
6,6,1027976
6,7,1027976
6,8,1025928
6,9,1025928
6,10,1025927
7,1,1025927
7,2,1027975
7,3,765831
7,4,1027975
7,5,1025927
7,6,1017735
7,7,1025927
7,8,894855
7,9,1025927
7,10,1027975
8,1,1025927
8,2,501639
8,3,1025927
8,4,1042311
8,5,1025927
8,6,1027975
8,7,1019783
8,8,1027975
8,9,1027975
8,10,1027847
8,5,278537
8,6,278601
8,7,278601
8,8,278633
6,6,1025927
6,7,1025928
6,8,1025928
6,9,1017736
6,10,1017735
7,1,1025539
7,2,1025543
7,3,1025543
7,4,1027591
7,7,886279
7,8,894471
7,9,632327
8,9,278633
8,10,409705
5,7,623105
5,8,631297
5,9,632321
5,10,108033
7,1,632323
7,2,632327
5,6,1041288
5,7,1042312
5,8,1044360
5,9,1044359
5,10,1042311
6,1,511880
6,2,520072
6,3,1044360
6,4,1044359
6,5,1044357
6,1,558595
6,2,558593
10,4,1034119
10,5,1036167
9,1,262145
9,2,262401
9,1,1025927
9,2,1027975
9,3,1025927
9,4,1025928
9,5,1027976
9,6,1027975
9,7,503687
7,10,624135
8,1,886279
8,2,886407
8,3,886279
8,4,886275
8,5,624131
8,6,624129
8,7,624257
9,3,262145
9,4,786433
7,3,632455
7,5,1043975
6,3,624129
6,4,624257
9,8,520071
9,9,519943
8,8,624513
6,6,1044358
10,6,1044359
10,7,1044360
10,8,1027976
10,9,1044360
10,10,1027976
1,1,100225
9,5,262145
9,6,278529
9,7,278537
9,8,278601
9,9,278601
9,10,278601
10,1,262145
10,2,294913
10,3,262145
10,4,262657
10,5,262657
10,6,279041
10,7,344577
7,4,632451
1,2,362369
6,5,624513
9,10,503559
8,9,624257
8,10,632449
9,1,886279
9,2,361991
9,3,99847
9,4,99843
9,5,361987
9,6,361991
9,7,360967
10,8,377345
10,9,377345
10,10,385537
7,6,1044231
1,3,362373
1,4,362245
1,5,362247
1,6,362375
1,7,370567
1,8,372615
7,5,632707
7,6,624515
7,7,624513
7,8,755585
10,1,1025927
10,2,1042311
10,3,1025927
10,4,1025927
10,5,1025927
10,6,1027975
10,7,1027976
10,8,1027975
10,9,1025927
10,10,1017735
6,6,624521
9,8,361991
9,9,362119
6,7,1044360
6,8,1027976
6,9,1027975
6,10,1025927
7,1,511880
7,2,520072
7,3,519048
1,9,503687
1,10,520071
2,1,100225
2,2,108417
2,3,110465
9,10,362375
10,1,886279
10,2,361991
10,3,886279
10,4,361991
10,5,361987
10,6,493059
2,4,102273
6,7,624513
6,8,624515
6,9,886659
6,10,1017731
7,9,1017729
2,5,110465
2,6,634753
2,7,634754
7,4,502664
7,7,1044359
7,8,520071
7,9,520071
7,10,1044359
8,1,1025539
8,2,1041923
10,7,493063
10,8,493319
10,9,362247
10,10,362375
7,5,503688
2,8,634756
7,1,558595
7,2,624131
7,3,99843
7,4,361987
7,5,361985
7,6,99841
7,10,493441
7,6,503687
7,7,1027975
7,8,1027976
7,9,1027975
7,10,1044359
8,1,511880
8,2,520072
8,3,520071
8,4,524167
8,3,1043971
7,7,361985
7,8,362241
7,9,361985
7,10,886273
8,1,558595
8,2,558593
8,3,624129
8,4,99841
8,5,99329
2,9,634755
2,10,896899
8,6,361473
8,7,361473
8,8,361985
8,9,361473
8,10,328705
9,1,558595
9,2,624131
9,3,886275
9,4,886275
9,5,886279
9,6,894471
9,7,370183
8,1,632323
8,2,632321
8,3,632323
8,4,632579
8,5,262023
9,8,370183
9,9,370179
8,6,261895
9,10,369155
8,4,1041923
8,5,1025539
8,6,1025543
8,7,1025671
8,8,1025671
8,9,1025671
8,10,1025927
9,1,1025539
9,2,1027587
9,3,1027715
3,1,100225
3,2,100227
8,5,632323
8,6,634371
8,7,632323
8,8,632451
8,9,632455
8,10,634503
8,7,262023
8,8,524167
8,9,1048455
3,3,100225
3,4,362369
3,5,378753
10,1,558595
10,2,624131
10,3,558595
10,4,624131
10,5,886275
10,6,1017347
10,7,1025539
10,8,960003
3,6,362369
3,7,362371
3,8,362375
3,9,493447
3,10,362375
4,1,100225
4,2,362369
4,3,886657
9,1,632323
9,2,624131
9,3,99843
9,4,361987
9,5,361991
9,6,361987
9,7,370179
9,8,370177
9,4,1027715
9,5,1044099
9,9,361985
9,10,370177
10,1,632323
10,2,632451
10,3,632449
10,4,632705
10,5,632707
10,6,763779
8,10,1048456
10,9,1025539
10,10,1025537
4,4,886659
4,5,886659
4,6,362371
4,7,362371
4,8,362375
4,9,361351
4,10,361349
10,7,1025923
10,8,1025927
10,9,1027975
10,10,1019783
5,1,100225
5,2,100227
5,3,99203
5,4,100227
5,5,100099
9,6,1044355
5,6,99075
9,1,511880
9,2,520072
9,3,520071
9,4,388999
5,7,100099
5,8,100227
5,9,100225
5,10,100227
6,1,100225
6,2,100226
6,3,100225
6,4,99201
6,5,100225
6,6,100229
9,5,389000
6,7,362373
6,8,362375
6,9,370567
6,10,362375
7,1,100225
7,2,624513
7,3,886657
7,4,362369
7,5,493441
7,6,501633
9,7,1044359
9,8,1044355
9,9,1027971
9,6,520072
9,7,503688
