id_sample,Language_ID
26,bantubvd-1
27,bantubvd-10
28,bantubvd-2
29,bantubvd-3
30,bantubvd-4
31,bantubvd-5
32,bantubvd-6
33,bantubvd-7
34,bantubvd-8
35,bantubvd-9
54,bodtkhobwa-Duhumbi
55,bodtkhobwa-Jerigaon
56,bodtkhobwa-Khispi
57,bodtkhobwa-Khoina
58,bodtkhobwa-Khoitam
59,bodtkhobwa-Rahung
60,bodtkhobwa-Rupa
61,bodtkhobwa-Shergaon
160,castroyi-DaqingZibusi
161,castroyi-HedongKuaNsi
162,castroyi-Kuamasi
163,castroyi-MoguangLaizisi
164,castroyi-XinfengSonaga
165,castrozhuang-DahuaLiushui
166,castrozhuang-DahuaYantan
167,castrozhuang-DuAnBaiwang
168,castrozhuang-DuAnGaoling
169,castrozhuang-GangbeiZhongli
170,castrozhuang-GuipingShilong
171,castrozhuang-LuzhaiLuzhai
172,castrozhuang-LuzhaiSipai
173,castrozhuang-MashanBaishan
174,castrozhuang-MashanYongzhou
175,castrozhuang-ShanglinMingliang
176,castrozhuang-ShanglinTanghong
177,castrozhuang-WuxuanHuangmao
178,castrozhuang-WuxuanTongling
179,castrozhuang-XiangzhouDale
180,castrozhuang-XiangzhouYunjiang
181,castrozhuang-XinchengBeigeng
182,castrozhuang-XinchengGuosui
183,castrozhuang-XingbinQianjiang
184,castrozhuang-XingbinSishan
185,chenhmongmien-Bana
186,chenhmongmien-BiaoMin
187,chenhmongmien-CentralGuizhouChuanqiandian
188,chenhmongmien-Chuanqiandian
189,chenhmongmien-Dongnu
190,chenhmongmien-EasternBaheng
191,chenhmongmien-EasternLuobuohe
192,chenhmongmien-EasternQiandong
193,chenhmongmien-EasternXiangxi
194,chenhmongmien-Jiongnai
195,chenhmongmien-KimMun
196,chenhmongmien-Mien
197,chenhmongmien-NortheastYunnanChuanqiandian
198,chenhmongmien-NorthernQiandong
199,chenhmongmien-Numao
200,chenhmongmien-Nunu
201,chenhmongmien-She
202,chenhmongmien-SouthernGuizhouChuanqiandian
203,chenhmongmien-SouthernQiandong
204,chenhmongmien-WesternBaheng
205,chenhmongmien-WesternLuobuohe
206,chenhmongmien-WesternQiandong
207,chenhmongmien-WesternXiangxi
208,chenhmongmien-Younuo
209,chenhmongmien-ZaoMin
210,chindialectsurvey-AshoKokanTan-A-1
211,chindialectsurvey-DaaiAwisi-A
212,chindialectsurvey-DaaiKalim-A
213,chindialectsurvey-DaaiNgxang5HungNghang-A
214,chindialectsurvey-DaaiYet3BuchaungwaYet-A
215,chindialectsurvey-DaituNyaungChaungYwa-D-4
216,chindialectsurvey-DoituHetsawlay-U-11
217,chindialectsurvey-EkaiDaletYwaHaung-D-1
218,chindialectsurvey-HyowLaituGhungurumukParainBandarban-A
219,chindialectsurvey-KaangKruk-A
220,chindialectsurvey-KhamawLakeKone-D-2
221,chindialectsurvey-KhulaiAyeChaungKwanwa-D-5
222,chindialectsurvey-LaisawThuHtayKung-A
223,chindialectsurvey-LaituAhongdong-A
224,chindialectsurvey-LaituKhuasung-U-12
225,chindialectsurvey-LonpawKhoimalaung-U-9
226,chindialectsurvey-MinkyaChi-U-10
227,chindialectsurvey-MroKhimiAreong10KyaGaungvillageMrokhami-A
