id_sample,Language_ID
240,clics1-Achestd
241,clics1-Aghulstd
242,clics1-Aguarunastd
243,clics1-AkhvakhNorthernNorthern
244,clics1-AkhvakhSouthernSouthern
245,clics1-AlbanianToskstd
246,clics1-AndiMuniMuni
247,clics1-Andistd
248,clics1-ArabicStandardstd
249,clics1-Araonastd
250,clics1-ArchiVar1Var1
251,clics1-ArchiVar2Var2
252,clics1-Archistd
253,clics1-ArmenianEasternEastern
254,clics1-ArmenianWesternWestern
255,clics1-AvarAndalalAndalal
256,clics1-AvarAntsukhAntsukh
257,clics1-AvarBatlukhBatlukh
258,clics1-AvarHidHid
259,clics1-AvarKarakhKarakh
260,clics1-AvarKusurKusur
261,clics1-AvarStandardStandard
262,clics1-AvarZakatalyZakataly
264,clics1-Ayoreostd
265,clics1-AzerbaijaniNorthTerekemeTerekeme
266,clics1-AzerbaijaniSouthstd
267,clics1-Bagvalalstd
269,clics1-Bengalistd
270,clics1-Bezhtastd
271,clics1-Botlikhstd
272,clics1-Bretonstd
273,clics1-Budukhstd
274,clics1-Bulgarianstd
275,clics1-Caribstd
277,clics1-CatalanValencianBalearstd
278,clics1-Cavinenastd
279,clics1-Cayubabastd
280,clics1-Chachistd
281,clics1-Chacobostd
282,clics1-Chamalalstd
283,clics1-ChatinoZacatepecstd
284,clics1-ChechenAkkinAkkin
285,clics1-Chechenstd
287,clics1-ChineseMandarinstd
288,clics1-Chipayastd
289,clics1-ChoroteIyojwajastd
290,clics1-Cofanstd
291,clics1-Coloradostd
292,clics1-Czechstd
293,clics1-Danishstd
294,clics1-DargwaItsariItsari
295,clics1-DargwaKajtakKajtak
296,clics1-DargwaKubachiKubachi
297,clics1-DargwaMuiriMuiri
298,clics1-DargwaStandardStandard
299,clics1-DidoMokokMokok
300,clics1-DidoSagadinSagadin
301,clics1-Dutchstd
303,clics1-EnapaWoromaipustd
304,clics1-Englishstd
305,clics1-Epenastd
306,clics1-Erzyastd
308,clics1-Esestd
309,clics1-Estonianstd
311,clics1-Finnishstd
312,clics1-Frenchstd
