timestep,config_from,config_to,probability
0,757638,1019782,0.8041775389541269
0,757638,626566,0.8126852181563051
0,757638,765830,0.9143158720305193
0,757638,761734,0.5590284416866969
1,1019782,1027974,0.9055317026106664
1,1019782,1017734,0.8517442590643292
1,626566,634758,0.8270998223753709
1,626566,624518,0.5754747790629022
1,765830,1027974,0.7867358668793154
1,765830,634758,0.6604400393262677
1,765830,769926,0.6113611691307204
1,761734,630662,0.6507280448508119
1,761734,769926,0.9297807273151004
2,1027974,1025926,0.5731900239015462
2,1027974,1027975,0.5130725979371054
2,1017734,1025926,0.6914248017962052
2,624518,886662,0.743664262378855
2,624518,632710,0.5279064227772067
2,1027974,1025926,0.5731900239015462
2,1027974,1027975,0.5130725979371054
2,630662,638854,0.8558238108751108
2,630662,626566,0.647505531189424
3,886662,362374,0.6649621863006787
3,886662,1017734,0.5803183199507547
3,886662,894854,0.5011228235584037
3,632710,894854,0.7226913530308423
3,632710,634758,0.7593730172950973
3,638854,769926,0.5448929243080746
3,638854,634758,0.5968302240813744
3,626566,634758,0.8270998223753709
3,626566,624518,0.5754747790629022
4,1017734,1025926,0.6914248017962052
4,894854,1025926,0.7551698137909288
4,894854,1025926,0.7551698137909288
4,624518,886662,0.743664262378855
4,624518,632710,0.5279064227772067
5,886662,362374,0.6649621863006787
5,886662,1017734,0.5803183199507547
5,886662,894854,0.5011228235584037
5,632710,894854,0.7226913530308423
5,632710,634758,0.7593730172950973
6,1017734,1025926,0.6914248017962052
6,894854,1025926,0.7551698137909288
6,894854,1025926,0.7551698137909288
