timestep,config_from,config_to,probability
0,655238,786310,0.5839150916350491
0,655238,638854,0.7457165828894072
0,655238,651142,0.590943097193663
1,786310,1048454,0.5415444123356252
1,786310,769926,0.7144480883631512
1,638854,769926,0.5448929243080746
1,638854,634758,0.5968302240813744
1,651142,634758,0.7503173674864232
2,1048454,1032070,0.6334073560303655
2,1048454,1044358,0.7372214303747204
3,1032070,769926,0.5507403268912534
3,1032070,1027974,0.7419227251278151
3,1044358,1027974,0.6390566210315523
3,1044358,1044359,0.5292914382327143
4,1027974,1025926,0.5731900239015462
4,1027974,1027975,0.5130725979371054
4,1027974,1025926,0.5731900239015462
4,1027974,1027975,0.5130725979371054
4,1044359,1027975,0.6239326556300314
