timestep,config_from,config_to,probability
0,894598,1025670,0.6182525861641406
0,894598,894854,0.883731948520532
0,894598,894470,0.5270001293716399
1,1025670,1025926,0.9353840160373482
1,1025670,1025542,0.5419267754806497
1,894854,1025926,0.7551698137909288
1,894470,1025542,0.6323087198787949
1,894470,886278,0.5171057386112532
2,1025542,1025538,0.5377368980393449
2,1025542,1025538,0.5377368980393449
2,886278,361990,0.6455497388312739
3,361990,362246,0.6021840608916169
4,362246,362374,0.8203304115691772
