timestep,config_from,config_to,probability
0,769922,765826,0.5872563705691424
0,769922,769926,0.707372141476008
1,765826,1027970,0.560819314756837
1,765826,634754,0.5966859332008121
1,765826,765830,0.5192362352625073
2,1027970,1025922,0.6418610251061894
2,1027970,1027974,0.7572858147654482
2,634754,634758,0.5867541980209421
2,765830,1027974,0.7867358668793154
2,765830,634758,0.6604400393262677
2,765830,769926,0.6113611691307204
3,1025922,1025926,0.7004168994110436
3,1027974,1025926,0.5731900239015462
3,1027974,1027975,0.5130725979371054
3,1027974,1025926,0.5731900239015462
3,1027974,1027975,0.5130725979371054
