timestep,config_from,config_to,probability
0,765575,1027719,0.7206648574093408
0,765575,634503,0.5016372217922421
0,765575,765831,0.8892731888566201
1,1027719,1025671,0.5349258939975766
1,1027719,1027975,0.9383207181181958
1,634503,634759,0.8083150272583747
1,634503,634502,0.764056680880893
1,765831,1027975,0.8301325769039215
1,765831,769927,0.576104497235628
1,765831,765830,0.5569773620920855
2,1025671,1025927,0.9101685970786715
2,1025671,1025670,0.53799983363002
2,634759,765831,0.6542313125533797
2,634759,634758,0.8222769000972678
2,634502,634758,0.8576489548427669
2,769927,1032071,0.5193762100695078
2,769927,769926,0.5927001731848184
2,765830,1027974,0.7867358668793154
2,765830,634758,0.6604400393262677
2,765830,769926,0.6113611691307204
3,1025927,1027975,0.5662376392079653
3,1025927,1025926,0.6245938532617195
3,1025670,1025926,0.9353840160373482
3,1025670,1025542,0.5419267754806497
3,765831,1027975,0.8301325769039215
3,765831,769927,0.576104497235628
3,765831,765830,0.5569773620920855
3,1032071,1027975,0.7689197195763046
3,1032071,1032070,0.5234660067786367
3,1027974,1025926,0.5731900239015462
3,1027974,1027975,0.5130725979371054
4,1025542,1025538,0.5377368980393449
4,769927,1032071,0.5193762100695078
4,769927,769926,0.5927001731848184
4,765830,1027974,0.7867358668793154
4,765830,634758,0.6604400393262677
4,765830,769926,0.6113611691307204
4,1032070,769926,0.5507403268912534
4,1032070,1027974,0.7419227251278151
5,1032071,1027975,0.7689197195763046
5,1032071,1032070,0.5234660067786367
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
6,1032070,769926,0.5507403268912534
6,1032070,1027974,0.7419227251278151
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
