timestep,config_from,config_to,probability
0,108416,632704,0.6321143621270067
0,108416,370560,0.7080495418778321
0,108416,100224,0.6583208383090073
0,108416,110464,0.6249646073142092
1,632704,634752,0.6466989446853382
1,632704,632706,0.5470315200419898
1,370560,362368,0.6820200551545904
1,100224,362368,0.7297156639773867
1,110464,634752,0.6536639703052358
2,634752,634754,0.6094013253923004
2,632706,634754,0.7028012169207811
2,632706,632710,0.515492816425202
2,634752,634754,0.6094013253923004
3,634754,634758,0.5867541980209421
3,634754,634758,0.5867541980209421
3,632710,894854,0.7226913530308423
3,632710,634758,0.7593730172950973
3,634754,634758,0.5867541980209421
4,894854,1025926,0.7551698137909288
