timestep,config_from,config_to,probability
0,115332,377476,0.8273163834151762
0,115332,123524,0.6605445212943275
0,115332,115588,0.8289226032188826
0,115332,115204,0.7613603169872998
0,115332,115328,0.8816387226349789
0,115332,115334,0.5043353744287407
1,377476,385668,0.6360987346625641
1,377476,377732,0.9017494589996647
1,377476,377348,0.8346210146599999
1,377476,377472,0.7205451812842602
1,377476,377478,0.5058997630339019
1,123524,647812,0.5742550420976331
1,123524,385668,0.8114524501475089
1,123524,123780,0.7051176762758584
1,123524,123396,0.5941115074480473
1,123524,123520,0.902812196109533
1,123524,123526,0.5627368675090652
1,115588,377732,0.9007451263307438
1,115588,99204,0.5787190062045067
1,115588,115584,0.8409001221355306
1,115588,115590,0.7061435422806042
1,115204,377348,0.8834291845696756
1,115204,115200,0.9349574773565047
1,115204,115206,0.6591746590231804
1,115328,377472,0.6238337781990211
1,115328,98944,0.5969537633228221
1,115328,123520,0.7081777650960511
1,115328,115584,0.7746769067647485
1,115328,115200,0.8602744073878896
1,115334,639622,0.5369405037592829
1,115334,377478,0.8282086263709206
1,115334,98950,0.5005237719255126
1,115334,123526,0.7110844544173565
1,115334,115590,0.9196348389761266
1,115334,115206,0.8584442815032998
2,385668,385924,0.8191491575123085
2,385668,385540,0.6983756281279956
2,385668,385664,0.7627826061526417
2,385668,385670,0.5642761801006021
2,377732,377728,0.6465863283752055
2,377732,377734,0.7074404748155376
2,377348,377344,0.8326584430305362
2,377348,377350,0.6605792473223231
2,377472,361088,0.5056408488716058
2,377472,385664,0.6855291844682616
2,377472,377728,0.8668876582064904
2,377472,377344,0.9068830342984
2,377478,385670,0.6885622557101814
2,377478,377734,0.9559003217796758
2,377478,377350,0.9055963962427256
2,647812,909956,0.6140255240614496
2,647812,647808,0.9096396199596024
2,647812,647814,0.7015167940214719
2,385668,385924,0.8191491575123085
2,385668,385540,0.6983756281279956
2,385668,385664,0.7627826061526417
2,385668,385670,0.5642761801006021
2,123780,385924,0.8907359695057598
2,123780,115588,0.5101237822663981
2,123780,123776,0.8682723968010636
2,123780,123782,0.7524388648944612
2,123396,385540,0.8719221293461636
2,123396,115204,0.5283300333826748
2,123396,123392,0.9471644455346956
2,123396,123398,0.7098289501385372
2,123520,647808,0.5937781732020809
2,123520,385664,0.5983518045126361
2,123520,123776,0.6291771303348324
2,123520,123392,0.7385426364820127
2,123526,647814,0.7112550512713502
2,123526,385670,0.812408074848998
2,123526,123782,0.84956246536806
2,123526,123398,0.7356080948942718
2,377732,377728,0.6465863283752055
2,377732,377734,0.7074404748155376
2,99204,361348,0.8623927633726064
2,99204,100228,0.6715856441521746
2,99204,99200,0.894318958538164
2,99204,99206,0.7224666367378285
2,115584,377728,0.7585338389302789
2,115584,99200,0.6874475509900828
2,115584,123776,0.5449602106267395
2,115590,377734,0.9013032301711679
2,115590,99206,0.5980916578678843
2,115590,123782,0.5484560401767288
2,377348,377344,0.8326584430305362
2,377348,377350,0.6605792473223231
2,115200,377344,0.7240096742070377
2,115200,123392,0.5268209676072522
2,115206,377350,0.8840721235744702
2,115206,123398,0.5303360514981936
2,115206,115202,0.5630715138512741
2,377472,361088,0.5056408488716058
2,377472,385664,0.6855291844682616
2,377472,377728,0.8668876582064904
2,377472,377344,0.9068830342984
2,98944,623232,0.5251958792709654
2,98944,361088,0.5338553190867641
2,98944,107136,0.5067827887852726
2,98944,99968,0.6203129458331721
2,98944,99200,0.8362156040835009
2,98944,98816,0.7943815555686706
2,123520,647808,0.5937781732020809
2,123520,385664,0.5983518045126361
2,123520,123776,0.6291771303348324
2,123520,123392,0.7385426364820127
2,115584,377728,0.7585338389302789
2,115584,99200,0.6874475509900828
2,115584,123776,0.5449602106267395
2,115200,377344,0.7240096742070377
2,115200,123392,0.5268209676072522
2,639622,901766,0.6405550393183482
2,639622,623238,0.6169950749415056
2,639622,647814,0.8394460735827766
2,639622,640646,0.5605416415396567
2,639622,639878,0.8267499383673168
2,639622,639494,0.7337536378804225
2,377478,385670,0.6885622557101814
2,377478,377734,0.9559003217796758
2,377478,377350,0.9055963962427256
2,98950,623238,0.6508437008658154
2,98950,361094,0.7690154557716128
2,98950,107142,0.5103083638124775
2,98950,99974,0.7997081397544281
2,98950,99206,0.9444238436269335
2,98950,98822,0.7918971428912516
2,98950,98946,0.5167223357544586
2,123526,647814,0.7112550512713502
2,123526,385670,0.812408074848998
2,123526,123782,0.84956246536806
2,123526,123398,0.7356080948942718
2,115590,377734,0.9013032301711679
2,115590,99206,0.5980916578678843
