timestep,config_from,config_to,probability
0,1042304,1025920,0.8288067756302491
0,1042304,1041280,0.58063606950895
0,1042304,1042306,0.6401331549766146
1,1025920,1025922,0.6583489202935716
1,1041280,516992,0.5914319013088974
1,1042306,1025922,0.8398613912725171
1,1042306,1044354,0.5079438856266862
1,1042306,1042310,0.7891784012978635
2,1025922,1025926,0.7004168994110436
2,1025922,1025926,0.7004168994110436
2,1044354,1027970,0.7392295944211266
2,1044354,1044358,0.8332103140518682
2,1042310,1025926,0.7661146643222767
2,1042310,1044358,0.5794096736045903
3,1027970,1025922,0.6418610251061894
3,1027970,1027974,0.7572858147654482
3,1044358,1027974,0.6390566210315523
3,1044358,1044359,0.5292914382327143
3,1044358,1027974,0.6390566210315523
3,1044358,1044359,0.5292914382327143
4,1025922,1025926,0.7004168994110436
4,1027974,1025926,0.5731900239015462
4,1027974,1027975,0.5130725979371054
4,1027974,1025926,0.5731900239015462
4,1027974,1027975,0.5130725979371054
4,1044359,1027975,0.6239326556300314
4,1027974,1025926,0.5731900239015462
4,1027974,1027975,0.5130725979371054
4,1044359,1027975,0.6239326556300314
