timestep,config_from,config_to,probability
0,648070,910214,0.7520039410927415
0,648070,631686,0.5032050991531568
0,648070,650118,0.5350035475960898
0,648070,649094,0.599675060821891
1,910214,385926,0.7247910181244873
1,910214,1041286,0.7924629360434594
1,910214,911238,0.6508682286968301
1,631686,893830,0.6768000450490164
1,631686,632710,0.8915647992477636
1,631686,631682,0.5062537097696589
1,650118,651142,0.8837408243635375
1,649094,911238,0.790522059008284
1,649094,632710,0.8475527633679174
1,649094,651142,0.8537691228950915
2,385926,516998,0.5546533157851997
2,385926,386950,0.5153088327407768
2,1041286,1042310,0.638349910065423
2,911238,386950,0.6003081681081357
2,911238,1042310,0.7833314998729813
2,911238,894854,0.7933618989721728
2,893830,369542,0.6209622565225361
2,893830,1024902,0.7651322562424966
2,893830,910214,0.5884117376221097
2,893830,885638,0.5046943705083142
2,893830,894854,0.9109728540363644
2,632710,894854,0.7226913530308423
2,632710,634758,0.7593730172950973
2,631682,632706,0.8828621989681759
2,631682,631680,0.6497415518097293
2,651142,634758,0.7503173674864232
2,911238,386950,0.6003081681081357
2,911238,1042310,0.7833314998729813
2,911238,894854,0.7933618989721728
2,632710,894854,0.7226913530308423
2,632710,634758,0.7593730172950973
2,651142,634758,0.7503173674864232
3,516998,1041286,0.5379252545980628
3,516998,518022,0.5016515257654799
3,386950,518022,0.5411174028317685
3,386950,370566,0.7048689534465733
3,1042310,1025926,0.7661146643222767
3,1042310,1044358,0.5794096736045903
3,386950,518022,0.5411174028317685
3,386950,370566,0.7048689534465733
3,1042310,1025926,0.7661146643222767
3,1042310,1044358,0.5794096736045903
3,894854,1025926,0.7551698137909288
3,369542,500614,0.5151654884487438
3,369542,385926,0.6968033345696012
3,369542,361350,0.6840038693630265
3,369542,370566,0.8537059844886666
3,1024902,1041286,0.6262618373478808
3,1024902,1025926,0.9064401287053455
3,910214,385926,0.7247910181244873
3,910214,1041286,0.7924629360434594
3,910214,911238,0.6508682286968301
3,885638,361350,0.7767957347820953
3,885638,1016710,0.5935664227348934
3,885638,886662,0.9090675457450885
3,894854,1025926,0.7551698137909288
3,894854,1025926,0.7551698137909288
3,632706,634754,0.7028012169207811
3,632706,632710,0.515492816425202
3,631680,107392,0.5050761018539449
3,631680,632704,0.7708701118514785
3,386950,518022,0.5411174028317685
3,386950,370566,0.7048689534465733
3,1042310,1025926,0.7661146643222767
3,1042310,1044358,0.5794096736045903
3,894854,1025926,0.7551698137909288
3,894854,1025926,0.7551698137909288
4,1041286,1042310,0.638349910065423
4,518022,1042310,0.6711953156724686
4,518022,501638,0.6707949668943165
4,518022,520070,0.5563754649772952
4,518022,1042310,0.6711953156724686
4,518022,501638,0.6707949668943165
4,518022,520070,0.5563754649772952
4,370566,894854,0.516985660846272
4,370566,501638,0.5015080496604389
4,370566,362374,0.6789529769886289
4,1044358,1027974,0.6390566210315523
4,1044358,1044359,0.5292914382327143
4,518022,1042310,0.6711953156724686
4,518022,501638,0.6707949668943165
4,518022,520070,0.5563754649772952
4,370566,894854,0.516985660846272
4,370566,501638,0.5015080496604389
4,370566,362374,0.6789529769886289
4,1044358,1027974,0.6390566210315523
4,1044358,1044359,0.5292914382327143
4,500614,1024902,0.6517433312356631
4,500614,516998,0.7292718138625415
4,500614,501638,0.8467480776707832
4,385926,516998,0.5546533157851997
4,385926,386950,0.5153088327407768
4,361350,362374,0.8507758445339646
4,370566,894854,0.516985660846272
4,370566,501638,0.5015080496604389
4,370566,362374,0.6789529769886289
4,1041286,1042310,0.638349910065423
4,385926,516998,0.5546533157851997
4,385926,386950,0.5153088327407768
4,1041286,1042310,0.638349910065423
4,911238,386950,0.6003081681081357
4,911238,1042310,0.7833314998729813
4,911238,894854,0.7933618989721728
4,361350,362374,0.8507758445339646
4,1016710,492422,0.5316437787238268
4,1016710,1024902,0.6864381495666084
4,1016710,1017734,0.9044479886584803
4,886662,362374,0.6649621863006787
4,886662,1017734,0.5803183199507547
4,886662,894854,0.5011228235584037
4,634754,634758,0.5867541980209421
4,632710,894854,0.7226913530308423
4,632710,634758,0.7593730172950973
4,107392,369536,0.660872218049068
4,107392,123776,0.5177935442175166
4,107392,99200,0.6635354688576591
4,107392,108416,0.657377131317387
4,632704,634752,0.6466989446853382
4,632704,632706,0.5470315200419898
4,518022,1042310,0.6711953156724686
4,518022,501638,0.6707949668943165
4,518022,520070,0.5563754649772952
4,370566,894854,0.516985660846272
4,370566,501638,0.5015080496604389
4,370566,362374,0.6789529769886289
4,1044358,1027974,0.6390566210315523
4,1044358,1044359,0.5292914382327143
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,501638,1025926,0.7664394553105242
5,520070,1044358,0.6915726708850629
5,520070,503686,0.5241197279316845
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,501638,1025926,0.7664394553105242
5,520070,1044358,0.6915726708850629
5,520070,503686,0.5241197279316845
5,894854,1025926,0.7551698137909288
5,501638,1025926,0.7664394553105242
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,1044359,1027975,0.6239326556300314
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,501638,1025926,0.7664394553105242
5,520070,1044358,0.6915726708850629
5,520070,503686,0.5241197279316845
5,894854,1025926,0.7551698137909288
5,501638,1025926,0.7664394553105242
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,1044359,1027975,0.6239326556300314
5,1024902,1041286,0.6262618373478808
5,1024902,1025926,0.9064401287053455
5,516998,1041286,0.5379252545980628
5,516998,518022,0.5016515257654799
5,501638,1025926,0.7664394553105242
5,516998,1041286,0.5379252545980628
5,516998,518022,0.5016515257654799
5,386950,518022,0.5411174028317685
5,386950,370566,0.7048689534465733
5,894854,1025926,0.7551698137909288
5,501638,1025926,0.7664394553105242
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,516998,1041286,0.5379252545980628
5,516998,518022,0.5016515257654799
5,386950,518022,0.5411174028317685
5,386950,370566,0.7048689534465733
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,386950,518022,0.5411174028317685
5,386950,370566,0.7048689534465733
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,894854,1025926,0.7551698137909288
5,492422,361350,0.6773493401822601
5,492422,508806,0.5328311223750095
5,492422,500614,0.5075154147183718
5,492422,493446,0.8437040910535661
5,1024902,1041286,0.6262618373478808
5,1024902,1025926,0.9064401287053455
5,1017734,1025926,0.6914248017962052
5,1017734,1025926,0.6914248017962052
5,894854,1025926,0.7551698137909288
5,894854,1025926,0.7551698137909288
5,369536,385920,0.6085993058213361
5,369536,361344,0.6870449361591571
5,369536,370560,0.7048235034593371
5,123776,385920,0.7383494821185708
5,99200,361344,0.6844792851848698
5,99200,100224,0.6521170968931084
5,108416,632704,0.6321143621270067
5,108416,370560,0.7080495418778321
5,108416,100224,0.6583208383090073
5,108416,110464,0.6249646073142092
5,634752,634754,0.6094013253923004
5,632706,634754,0.7028012169207811
5,632706,632710,0.515492816425202
5,1042310,1025926,0.7661146643222767
5,1042310,1044358,0.5794096736045903
5,501638,1025926,0.7664394553105242
5,520070,1044358,0.6915726708850629
5,520070,503686,0.5241197279316845
5,894854,1025926,0.7551698137909288
5,501638,1025926,0.7664394553105242
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,1044359,1027975,0.6239326556300314
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,503686,1027974,0.7828240474412461
6,503686,501638,0.5959851499317124
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,503686,1027974,0.7828240474412461
6,503686,501638,0.5959851499317124
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,503686,1027974,0.7828240474412461
6,503686,501638,0.5959851499317124
6,1041286,1042310,0.638349910065423
6,1041286,1042310,0.638349910065423
6,518022,1042310,0.6711953156724686
6,518022,501638,0.6707949668943165
6,518022,520070,0.5563754649772952
6,1041286,1042310,0.638349910065423
6,518022,1042310,0.6711953156724686
6,518022,501638,0.6707949668943165
6,518022,520070,0.5563754649772952
6,518022,1042310,0.6711953156724686
6,518022,501638,0.6707949668943165
6,518022,520070,0.5563754649772952
6,370566,894854,0.516985660846272
6,370566,501638,0.5015080496604389
6,370566,362374,0.6789529769886289
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,1041286,1042310,0.638349910065423
6,518022,1042310,0.6711953156724686
6,518022,501638,0.6707949668943165
6,518022,520070,0.5563754649772952
6,518022,1042310,0.6711953156724686
6,518022,501638,0.6707949668943165
6,518022,520070,0.5563754649772952
6,370566,894854,0.516985660846272
6,370566,501638,0.5015080496604389
6,370566,362374,0.6789529769886289
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,518022,1042310,0.6711953156724686
6,518022,501638,0.6707949668943165
6,518022,520070,0.5563754649772952
6,370566,894854,0.516985660846272
6,370566,501638,0.5015080496604389
6,370566,362374,0.6789529769886289
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,361350,362374,0.8507758445339646
6,508806,377734,0.6417131124543247
6,508806,516998,0.7087831430288722
6,500614,1024902,0.6517433312356631
6,500614,516998,0.7292718138625415
6,500614,501638,0.8467480776707832
6,493446,1017734,0.6070333059657458
6,493446,362374,0.6891750288781888
6,493446,501638,0.5133301550840175
6,1041286,1042310,0.638349910065423
6,385920,516992,0.5080162393479701
6,361344,362368,0.6999594169829346
6,370560,362368,0.6820200551545904
6,385920,516992,0.5080162393479701
6,361344,362368,0.6999594169829346
6,100224,362368,0.7297156639773867
6,632704,634752,0.6466989446853382
6,632704,632706,0.5470315200419898
6,370560,362368,0.6820200551545904
6,100224,362368,0.7297156639773867
6,110464,634752,0.6536639703052358
6,634754,634758,0.5867541980209421
6,634754,634758,0.5867541980209421
6,632710,894854,0.7226913530308423
6,632710,634758,0.7593730172950973
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,1044358,1027974,0.6390566210315523
6,1044358,1044359,0.5292914382327143
6,503686,1027974,0.7828240474412461
6,503686,501638,0.5959851499317124
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,501638,1025926,0.7664394553105242
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,501638,1025926,0.7664394553105242
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,501638,1025926,0.7664394553105242
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,501638,1025926,0.7664394553105242
7,520070,1044358,0.6915726708850629
7,520070,503686,0.5241197279316845
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,501638,1025926,0.7664394553105242
7,520070,1044358,0.6915726708850629
7,520070,503686,0.5241197279316845
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,501638,1025926,0.7664394553105242
7,520070,1044358,0.6915726708850629
7,520070,503686,0.5241197279316845
7,894854,1025926,0.7551698137909288
7,501638,1025926,0.7664394553105242
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,501638,1025926,0.7664394553105242
7,520070,1044358,0.6915726708850629
7,520070,503686,0.5241197279316845
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,501638,1025926,0.7664394553105242
7,520070,1044358,0.6915726708850629
7,520070,503686,0.5241197279316845
7,894854,1025926,0.7551698137909288
7,501638,1025926,0.7664394553105242
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,501638,1025926,0.7664394553105242
7,520070,1044358,0.6915726708850629
7,520070,503686,0.5241197279316845
7,894854,1025926,0.7551698137909288
7,501638,1025926,0.7664394553105242
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,377734,361350,0.5068235602452709
7,377734,385926,0.5217821757608465
7,377734,378758,0.509495143587911
7,516998,1041286,0.5379252545980628
7,516998,518022,0.5016515257654799
7,1024902,1041286,0.6262618373478808
7,1024902,1025926,0.9064401287053455
7,516998,1041286,0.5379252545980628
7,516998,518022,0.5016515257654799
7,501638,1025926,0.7664394553105242
7,1017734,1025926,0.6914248017962052
7,501638,1025926,0.7664394553105242
7,1042310,1025926,0.7661146643222767
7,1042310,1044358,0.5794096736045903
7,634752,634754,0.6094013253923004
7,632706,634754,0.7028012169207811
7,632706,632710,0.515492816425202
7,634752,634754,0.6094013253923004
7,894854,1025926,0.7551698137909288
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,1044359,1027975,0.6239326556300314
7,1027974,1025926,0.5731900239015462
7,1027974,1027975,0.5130725979371054
7,501638,1025926,0.7664394553105242
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,503686,1027974,0.7828240474412461
8,503686,501638,0.5959851499317124
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,503686,1027974,0.7828240474412461
8,503686,501638,0.5959851499317124
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,503686,1027974,0.7828240474412461
8,503686,501638,0.5959851499317124
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,503686,1027974,0.7828240474412461
8,503686,501638,0.5959851499317124
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,503686,1027974,0.7828240474412461
8,503686,501638,0.5959851499317124
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,503686,1027974,0.7828240474412461
8,503686,501638,0.5959851499317124
8,361350,362374,0.8507758445339646
8,385926,516998,0.5546533157851997
8,385926,386950,0.5153088327407768
8,378758,362374,0.8494136880408372
8,378758,386950,0.5275852660339517
8,1041286,1042310,0.638349910065423
8,518022,1042310,0.6711953156724686
8,518022,501638,0.6707949668943165
8,518022,520070,0.5563754649772952
8,1041286,1042310,0.638349910065423
8,1041286,1042310,0.638349910065423
8,518022,1042310,0.6711953156724686
8,518022,501638,0.6707949668943165
8,518022,520070,0.5563754649772952
8,1044358,1027974,0.6390566210315523
8,1044358,1044359,0.5292914382327143
8,634754,634758,0.5867541980209421
8,634754,634758,0.5867541980209421
8,632710,894854,0.7226913530308423
8,632710,634758,0.7593730172950973
8,634754,634758,0.5867541980209421
