timestep,config_from,config_to,probability
0,976775,1042311,0.9742161168842165
0,976775,960391,0.7667678695120801
0,976775,978823,0.5428521673532964
1,1042311,1025927,0.7542674233255979
1,1042311,1044359,0.7071838910035252
1,1042311,1042310,0.6092344372885921
1,960391,1025927,0.9724344748302993
1,978823,1044359,0.9871540723333341
1,978823,962439,0.6398978853757091
2,1025927,1027975,0.5662376392079653
2,1025927,1025926,0.6245938532617195
2,1044359,1027975,0.6239326556300314
2,1042310,1025926,0.7661146643222767
2,1042310,1044358,0.5794096736045903
2,1025927,1027975,0.5662376392079653
2,1025927,1025926,0.6245938532617195
2,1044359,1027975,0.6239326556300314
2,962439,1027975,0.9862538164806839
2,962439,960391,0.6090685762445194
3,1044358,1027974,0.6390566210315523
3,1044358,1044359,0.5292914382327143
3,960391,1025927,0.9724344748302993
4,1027974,1025926,0.5731900239015462
4,1027974,1027975,0.5130725979371054
4,1044359,1027975,0.6239326556300314
4,1025927,1027975,0.5662376392079653
4,1025927,1025926,0.6245938532617195
