timestep,config_from,config_to,probability
0,911238,386950,0.6003081681081357
0,911238,1042310,0.7833314998729813
0,911238,894854,0.7933618989721728
1,386950,518022,0.5411174028317685
1,386950,370566,0.7048689534465733
1,1042310,1025926,0.7661146643222767
1,1042310,1044358,0.5794096736045903
1,894854,1025926,0.7551698137909288
2,518022,1042310,0.6711953156724686
2,518022,501638,0.6707949668943165
2,518022,520070,0.5563754649772952
2,370566,894854,0.516985660846272
2,370566,501638,0.5015080496604389
2,370566,362374,0.6789529769886289
2,1044358,1027974,0.6390566210315523
2,1044358,1044359,0.5292914382327143
3,1042310,1025926,0.7661146643222767
3,1042310,1044358,0.5794096736045903
3,501638,1025926,0.7664394553105242
3,520070,1044358,0.6915726708850629
3,520070,503686,0.5241197279316845
3,894854,1025926,0.7551698137909288
3,501638,1025926,0.7664394553105242
3,1027974,1025926,0.5731900239015462
3,1027974,1027975,0.5130725979371054
3,1044359,1027975,0.6239326556300314
4,1044358,1027974,0.6390566210315523
4,1044358,1044359,0.5292914382327143
4,1044358,1027974,0.6390566210315523
4,1044358,1044359,0.5292914382327143
4,503686,1027974,0.7828240474412461
4,503686,501638,0.5959851499317124
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,1044359,1027975,0.6239326556300314
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,1044359,1027975,0.6239326556300314
5,1027974,1025926,0.5731900239015462
5,1027974,1027975,0.5130725979371054
5,501638,1025926,0.7664394553105242
