timestep,config_from,config_to,probability
0,1044230,1027846,0.526286402716833
0,1044230,1043974,0.6250443438491733
0,1044230,1044358,0.9294097123703958
1,1027846,1025798,0.5774057849966868
1,1027846,1027590,0.5288653576106366
1,1027846,1027974,0.9545091671062821
1,1043974,1041926,0.5258151334277352
1,1044358,1027974,0.6390566210315523
1,1044358,1044359,0.5292914382327143
2,1025798,1025542,0.6276242977692073
2,1025798,1025926,0.9537540503548758
2,1027590,1043974,0.5720407446090938
2,1027590,1025542,0.6722945441935682
2,1027974,1025926,0.5731900239015462
2,1027974,1027975,0.5130725979371054
2,1041926,1025542,0.5805536740483261
2,1027974,1025926,0.5731900239015462
2,1027974,1027975,0.5130725979371054
2,1044359,1027975,0.6239326556300314
3,1025542,1025538,0.5377368980393449
3,1043974,1041926,0.5258151334277352
3,1025542,1025538,0.5377368980393449
3,1025542,1025538,0.5377368980393449
4,1041926,1025542,0.5805536740483261
5,1025542,1025538,0.5377368980393449
