timestep,config_from,config_to,probability
0,1048230,786086,0.7708949843416277
0,1048230,1048486,0.9526871954215697
0,1048230,1048102,0.5055616972118657
0,1048230,1048198,0.8764417196720459
0,1048230,1048231,0.5615333147766992
1,786086,655014,0.5245731235536978
1,786086,769702,0.5901094908360798
1,786086,786342,0.914017066059743
1,786086,786054,0.7717165335430297
1,1048486,786342,0.6398161870435314
1,1048486,1032102,0.5961909469604196
1,1048486,1048454,0.8946293755105741
1,1048102,785958,0.6802205536354147
1,1048102,1048070,0.9161397222222207
1,1048198,786054,0.6159146446737958
1,1048198,1031814,0.5377872140120614
1,1048198,1044102,0.822054829799954
1,1048198,1048454,0.9601617412271705
1,1048198,1048070,0.6116153318060016
1,1048198,1048199,0.5812397657110304
1,1048231,786087,0.7175144397320123
1,1048231,1048487,0.9337458101493755
1,1048231,1048199,0.8848960774226337
2,655014,638630,0.6279021945425657
2,655014,655270,0.8480593372835378
2,655014,654982,0.8061259159375632
2,769702,638630,0.5639432910917836
2,769702,769958,0.9404266472016122
2,769702,769670,0.7982307138731194
2,786342,769958,0.6813196233921628
2,786342,786310,0.8018341591652416
2,786054,654982,0.5757556181594601
2,786054,769670,0.6275362290028428
2,786054,781958,0.5053268354068383
2,786054,786310,0.9271335145695133
2,786054,786055,0.5116625814072625
2,786342,769958,0.6813196233921628
2,786342,786310,0.8018341591652416
2,1032102,769958,0.7200662910513793
2,1032102,1032070,0.9085592798904869
2,1048454,1032070,0.6334073560303655
2,1048454,1044358,0.7372214303747204
2,785958,654886,0.5095927186908469
2,785958,786086,0.6073862015485898
2,785958,785926,0.8388760129771347
2,1048070,785926,0.5034143141057071
2,1048070,1043974,0.8446315403121665
2,786054,654982,0.5757556181594601
2,786054,769670,0.6275362290028428
2,786054,781958,0.5053268354068383
2,786054,786310,0.9271335145695133
2,786054,786055,0.5116625814072625
2,1031814,769670,0.6989846675497254
2,1031814,1027718,0.8255974402974658
2,1031814,1032070,0.9728195037662383
2,1031814,1031815,0.5653409506345956
2,1044102,1027718,0.5438488384180762
2,1044102,1042054,0.5215112038810079
2,1044102,1044358,0.936047102187149
2,1044102,1043974,0.6495078665482206
2,1044102,1044103,0.616353751750621
2,1048454,1032070,0.6334073560303655
2,1048454,1044358,0.7372214303747204
2,1048070,785926,0.5034143141057071
2,1048070,1043974,0.8446315403121665
2,1048199,786055,0.5476146647694602
2,1048199,1031815,0.5215965180443578
2,1048199,1044103,0.8424494061111012
2,1048199,1048455,0.9440369638694313
2,786087,769703,0.5743007909106452
2,786087,786343,0.8815196639829929
2,786087,786055,0.785583559900819
2,786087,786086,0.5084538863216466
2,1048487,786343,0.5728186139611666
2,1048487,1032103,0.5804500391622971
2,1048487,1048455,0.9019784425313612
2,1048487,1048486,0.5273259542580189
2,1048199,786055,0.5476146647694602
2,1048199,1031815,0.5215965180443578
2,1048199,1044103,0.8424494061111012
2,1048199,1048455,0.9440369638694313
3,638630,638886,0.8923415655201759
3,638630,638598,0.829526424543872
3,655270,786342,0.6331764340085249
3,655270,638886,0.7147674729905132
3,655270,655238,0.832688103376316
3,654982,638598,0.6638438745849893
3,654982,650886,0.7040420132334085
3,654982,655238,0.8698042289948833
3,638630,638886,0.8923415655201759
3,638630,638598,0.829526424543872
3,769958,769926,0.8256406381869349
3,769670,638598,0.6140060975955468
3,769670,765574,0.5114274167143315
3,769670,769926,0.9497359387845256
3,769958,769926,0.8256406381869349
3,786310,1048454,0.5415444123356252
3,786310,769926,0.7144480883631512
3,654982,638598,0.6638438745849893
3,654982,650886,0.7040420132334085
3,654982,655238,0.8698042289948833
3,769670,638598,0.6140060975955468
3,769670,765574,0.5114274167143315
3,769670,769926,0.9497359387845256
3,781958,1044102,0.7382282069445065
3,781958,650886,0.7596361975303866
3,781958,765574,0.6332235792804146
3,781958,782214,0.8854123784615477
3,781958,781830,0.5394902219675951
3,781958,781959,0.5480745620142671
3,786310,1048454,0.5415444123356252
3,786310,769926,0.7144480883631512
3,786055,769671,0.6122224572044312
3,786055,781959,0.5417881665854474
3,786055,786311,0.8990459495639735
3,769958,769926,0.8256406381869349
3,786310,1048454,0.5415444123356252
3,786310,769926,0.7144480883631512
3,769958,769926,0.8256406381869349
3,1032070,769926,0.5507403268912534
3,1032070,1027974,0.7419227251278151
3,1032070,769926,0.5507403268912534
3,1032070,1027974,0.7419227251278151
3,1044358,1027974,0.6390566210315523
3,1044358,1044359,0.5292914382327143
3,654886,638502,0.5142956926258881
3,654886,655014,0.6215975556949918
3,654886,654854,0.8649341139184523
3,786086,655014,0.5245731235536978
3,786086,769702,0.5901094908360798
3,786086,786342,0.914017066059743
3,786086,786054,0.7717165335430297
3,785926,654854,0.561038414295707
3,785926,769542,0.5139044928023795
3,785926,781830,0.5458898814042301
3,785926,786054,0.5011197064465803
3,785926,654854,0.561038414295707
3,785926,769542,0.5139044928023795
3,785926,781830,0.5458898814042301
3,785926,786054,0.5011197064465803
3,1043974,1041926,0.5258151334277352
3,654982,638598,0.6638438745849893
3,654982,650886,0.7040420132334085
3,654982,655238,0.8698042289948833
3,769670,638598,0.6140060975955468
3,769670,765574,0.5114274167143315
3,769670,769926,0.9497359387845256
3,781958,1044102,0.7382282069445065
3,781958,650886,0.7596361975303866
3,781958,765574,0.6332235792804146
3,781958,782214,0.8854123784615477
3,781958,781830,0.5394902219675951
3,781958,781959,0.5480745620142671
3,786310,1048454,0.5415444123356252
3,786310,769926,0.7144480883631512
3,786055,769671,0.6122224572044312
3,786055,781959,0.5417881665854474
3,786055,786311,0.8990459495639735
3,769670,638598,0.6140060975955468
3,769670,765574,0.5114274167143315
3,769670,769926,0.9497359387845256
