Source,Target,Weight,Flag
0,1,0.22755502441,1
0,2,0.093917726688,1
0,3,0.31776238461,1
0,4,0.23717193519,1
0,5,0.019506597781,-1
0,6,0.14939500568,-1
0,7,0.11795455599,1
0,8,0.087506219059,1
0,9,0.11064663123,1
0,10,0.00067116946647,-1
0,11,0.11908159496,-1
0,12,0.0207262305,1
0,13,0.071383494775,1
0,14,0.17422898323,1
0,15,0.013929890809,-1
0,16,0.27419415601,1
0,17,0.07313033735,1
0,18,0.051274517667,1
0,19,0.037290211318,-1
0,20,0.17451518991,-1
0,21,0.13539763413,1
0,22,0.20369832896,1
0,23,0.054080396237,-1
0,24,0.25286874791,1
0,25,0.2932942005,-1
0,26,0.38363973473,1
0,27,0.0072766649416,-1
0,28,0.16031080696,-1
0,29,0.12935545934,-1
0,30,0.15688274153,-1
0,31,0.16390194051,-1
0,32,0.081644963423,-1
0,33,0.088585613617,-1
0,34,0.087925612367,-1
0,35,0.083505449726,-1
0,36,0.12381714726,-1
0,37,0.030530986503,-1
1,2,0.26533783028,1
1,3,0.61367237942,1
1,4,0.59487381691,1
1,5,0.5813494271,1
1,6,0.028734451013,1
1,7,0.024302971416,-1
1,8,0.095217657046,1
1,9,0.055427858996,1
1,10,0.24394978372,1
1,11,0.33519330572,-1
1,12,0.31491984335,-1
1,13,0.1007999672,-1
1,14,0.16187227268,1
1,15,0.20010176412,1
1,16,0.1599862167,1
1,17,0.42436635471,1
1,18,0.051533921341,-1
1,19,0.0096203998375,1
1,20,0.14480558286,-1
1,21,0.22161739836,1
1,22,0.18993986213,1
1,23,0.051632801496,-1
1,24,0.11282344426,-1
1,25,0.027336886072,1
1,26,0.33409578236,1
1,27,0.32070781831,-1
1,28,0.26523195164,-1
1,29,0.071273274963,-1
1,30,0.28460539285,1
1,31,0.020911077409,-1
1,32,0.38322770393,-1
1,33,0.2500839967,-1
1,34,0.28285726981,-1
1,35,0.24409761858,-1
1,36,0.27517780136,-1
1,37,0.26452374442,-1
2,3,0.37263615847,1
2,4,0.79471862343,1
2,5,0.015895293982,1
2,6,0.076792692252,1
2,7,0.16206078431,1
2,8,0.077389017865,1
2,9,0.0778746341,-1
2,10,0.23111129344,1
2,11,0.29477505437,-1
2,12,0.057734451376,-1
2,13,0.041373544369,1
2,14,0.0065327379162,1
2,15,0.21777897387,1
2,16,0.05171555947,1
2,17,0.29381466168,1
2,18,0.055845923033,1
2,19,0.23363681238,1
2,20,0.083203080354,-1
2,21,0.46597678234,1
2,22,0.15629114286,-1
2,23,0.22219396623,-1
2,24,0.07488410861,1
2,25,0.019726041502,1
2,26,0.075502265119,1
2,27,0.084125555274,1
2,28,0.28386320215,-1
2,29,0.18527856279,-1
2,30,0.0010401573552,1
2,31,0.087881882364,-1
2,32,0.18512275896,-1
2,33,0.18487885895,-1
2,34,0.176372039,-1
2,35,0.20031186568,-1
2,36,0.17846538913,-1
2,37,0.015854826609,1
3,4,0.83105757349,1
3,5,0.31452095686,1
3,6,0.19241125874,-1
3,7,0.26707492803,1
3,8,0.21456799805,1
3,9,0.40126235059,1
3,10,0.20808194723,1
3,11,0.12478570232,-1
3,12,0.064623697505,-1
3,13,0.16580464844,1
3,14,0.31801408928,1
3,15,0.0061293345219,-1
3,16,0.2002713527,1
3,17,0.054949883835,1
3,18,0.016583732762,-1
3,19,0.22300972813,-1
3,20,0.081431507446,-1
3,21,0.15088613423,1
3,22,0.058561863861,-1
3,23,0.082692566038,-1
3,24,0.33899531969,1
3,25,0.11672243416,-1
3,26,0.21236498919,1
3,27,0.044877310192,-1
3,28,0.26835190559,-1
3,29,0.14528018221,1
3,30,0.14354867533,1
3,31,0.28190069839,-1
3,32,0.21798993536,-1
3,33,0.2390858424,-1
3,34,0.2554397591,-1
3,35,0.22095140543,-1
3,36,0.22457712131,-1
3,37,0.23454378746,-1
4,5,0.058854847225,1
4,6,0.084037848343,-1
4,7,0.042698677111,1
4,8,0.046286911092,-1
4,9,0.098889616445,1
4,10,0.26657535096,1
4,11,0.2455507064,-1
4,12,0.035043264444,1
4,13,0.10547454222,1
4,14,0.0056147352347,-1
4,15,0.14542711608,1
4,16,0.10731051611,1
4,17,0.34856342079,1
4,18,0.1698428929,-1
4,19,0.00096591660521,1
4,20,0.19036073304,-1
4,21,0.32774917861,1
4,22,0.15894598871,1
4,23,0.17162857059,-1
4,24,0.00043480846872,-1
4,25,0.054699805475,-1
4,26,0.25865290424,1
4,27,0.054427962049,1
4,28,0.1851068069,-1
4,29,0.2988387947,-1
4,30,0.048208829682,1
4,31,0.070512197284,1
4,32,0.21475646002,-1
4,33,0.22376910926,-1
