Source,Target,Weight
21,31,1
21,32,1
21,62,1
21,105,1
21,107,1
21,126,1
21,143,1
21,186,1
21,208,1
21,522,1
21,561,1
21,952,1
22,27,1
22,45,1
22,151,1
22,293,1
22,346,1
22,604,1
22,711,1
22,798,1
22,895,1
22,898,1
23,25,1
23,34,1
23,40,1
23,88,1
23,130,1
23,182,1
23,299,1
23,375,1
23,597,1
24,31,1
24,74,1
24,98,1
24,100,1
24,130,1
24,186,1
24,255,1
24,396,1
24,486,1
24,513,1
25,37,1
25,38,1
25,56,1
25,108,1
25,243,1
25,258,1
25,261,1
25,439,1
25,446,1
25,600,1
26,34,1
26,71,1
26,180,1
26,186,1
26,205,1
26,279,1
26,493,1
26,721,1
26,869,1
27,35,1
27,92,1
27,183,1
27,198,1
27,355,1
27,455,1
27,610,1
27,638,1
27,743,1
27,918,1
28,65,1
28,74,1
28,82,1
28,86,1
28,140,1
28,159,1
28,176,1
28,185,1
28,207,1
28,317,1
28,723,1
29,91,1
29,113,1
29,313,1
29,315,1
29,445,1
29,593,1
29,719,1
29,835,1
29,926,1
30,76,1
30,155,1
30,254,1
30,315,1
30,374,1
30,545,1
30,630,1
30,682,1
30,786,1
30,796,1
30,958,1
31,58,1
31,111,1
31,152,1
31,188,1
31,206,1
31,365,1
31,440,1
31,664,1
31,722,1
32,79,1
32,85,1
32,89,1
32,111,1
32,161,1
32,215,1
32,252,1
32,297,1
32,321,1
32,700,1
32,742,1
33,64,1
33,68,1
33,71,1
33,102,1
33,143,1
33,249,1
33,329,1
33,339,1
33,431,1
33,602,1
33,809,1
33,967,1
34,39,1
34,56,1
34,118,1
34,267,1
34,322,1
34,345,1
34,546,1
34,574,1
35,115,1
35,119,1
35,206,1
35,398,1
35,459,1
35,678,1
35,805,1
36,44,1
36,45,1
36,108,1
36,456,1
36,465,1
36,518,1
36,563,1
36,692,1
36,789,1
37,51,1
37,53,1
37,113,1
37,124,1
37,253,1
37,334,1
37,633,1
37,868,1
38,40,1
38,113,1
38,156,1
38,362,1
38,395,1
38,646,1
38,673,1
38,790,1
38,815,1
